ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
DAP3	3.7	0.0025
DCTN1	2.26	0.00826
DCTN2	2.6	0.00386
DDAH2	2.9	0.00204
DDT	7.28	0.00042
DDX17	1.39	0.0048
DDX19B	3.1	0.00273
DDX42	3.61	0.00155
DENND4C	2.71	0.000193
DHX30	2.36	0.000519
DHX9	1.09	0.0348
DIAPH1	3.18	0.0299
DLAT	1.33	0.00829
DNAJB1	3.52	0.0276
DNAJC10	1.78	0.00188
DNAJC13	2.15	0.00418
DNAJC3	1.27	0.0192
DNAJC5	1.18	0.0261
DOCK1	2.46	0.00597
DOCK7	3.43	0.00526
DPP9	2.52	0.0179
DSP	2.57	0.00118
DST	4.43	0.00273
DTD1	1.03	0.00531
ECE1	3.85	0.00383
ECHDC1	1.59	0.00181
ECHS1	3.4	0.000102
ECI2	3.72	4.16e-05
EEA1	3.26	0.00141
EEF1D	1.93	0.000379
EEF1E1	2.46	0.00103
EFL1	5.21	0.000915
EHD1	1.66	0.00198
EIF2B1	2.42	0.000396
EIF4G3	1.9	0.0301
EIF5	1.53	0.0079
EIF5B	7.58	6.4e-05
EMC1	2.54	0.000231
EPS15	2.83	0.00531
ERC1	2.42	0.0316
ERGIC3	3.31	0.0104
ERI3	1.86	0.0316
ERLIN2	1.56	0.00176
ERP44	1.25	0.00548
ESD	2.51	0.000515
ETHE1	3.71	7.99e-05
EXOC3	4.27	0.0198
EXOC5	2.72	0.0424
EXOC6B	2.1	0.00752
EXOC7	4.03	0.014
EZR	3.74	5.01e-05
FABP4	4.82	0.000127
FABP5	1.62	0.00336
FAH	3.55	0.000592
FAM114A1	1.48	0.00549
FAM3C	2.8	0.006
FAP	9.59	0.000141
FARSA	1.83	0.000708
FASN	3.29	6.4e-05
FH	1.44	0.00164
FKBP10	2.02	0.00141
FKBP15	2.72	0.0023
FKBP4	1.37	0.00193
FKBP7	1.49	0.000893
FKBP9	2.21	0.000211
FLOT1	2.37	0.00141
FOCAD	3.91	0.000358
FTL	5.23	4.86e-05
FXR1	1.9	0.00777
FYCO1	4.32	0.000814
GABARAP	2.16	0.00342
GABARAPL2	2.6	0.000719
GAK	1.58	0.00727
GALNT2	1.92	0.000376
GANAB	2.84	0.000879
GAPVD1	1.29	0.0283
GART	1.96	0.000666
GATD3B	2.21	0.000196
GBA	1.63	0.00708
GBE1	5.55	0.000195
GBF1	6.9	0.0061
GCN1	2.9	0.000228
GFM1	2.27	0.0277
GGCT	2.75	0.0101
GIGYF2	1.82	0.0229
GIT2	3.66	0.00854
GLB1	4.68	0.0198
GLS	1.28	0.00233
GNA11	5.33	6.4e-05
GNL1	3.82	0.000264
GNPDA1	1.13	0.00787
GNPDA2	3.27	0.00157
GNS	1.8	0.000299
GOLGB1	3.81	0.00251
GOSR1	2.41	0.0384
GOSR2	1.06	0.0433
GPD2	1.85	0.0261
GRN	3.3	0.00177
GSTM1	3.5	6.4e-05
GSTO1	5.2	2.24e-05
GSTP1	2.55	0.000264
GUK1	3.67	0.000696
GYS1	2.88	0.000331
H3-3A	5.51	0.00253
H3C1	1.13	0.0444
H3C15	4.08	0.0022
HADH	2.96	0.000331
HADHA	1.6	0.0011
HADHB	1.01	0.00225
HAGH	1.58	0.00491
HBE1	5.56	0.00125
HDHD2	1.81	0.00157
HEATR5A	3.01	0.00155
HECTD1	2.54	0.0109
HERC4	2.69	0.000159
HGS	1.17	0.0441
HIBCH	3.37	0.000624
HINT1	2.21	0.00153
HK1	2.03	0.000262
HM13	5.85	2.18e-05
HMGCS1	4.71	0.000395
HMOX1	1.48	0.000512
HNRNPA0	1.06	0.0125
HNRNPC	2.3	0.000283
HNRNPH2	2.06	0.00155
HNRNPUL2	1.85	0.0238
HRAS	1.66	0.00131
HSD17B10	2.74	6.37e-05
HSD17B4	3.67	0.000561
HSPA2	1.91	0.0368
HSPB6	8.43	5.64e-05
HSPH1	1.63	0.000849
HTT	4.45	0.000784
HUWE1	4.12	0.00278
HYOU1	3.29	0.000264
IARS1	2.44	0.000193
IARS2	3.4	0.000178
IDI1	1.77	0.000416
IGF2BP3	5.74	0.0133
IGF2R	6.54	3.39e-05
IGFBP7	3.46	0.00385
ILF2	1.26	0.00104
ILF3	3.89	0.00464
IMPA1	5.96	0.000215
INA	5.86	2.77e-05
INF2	2.9	0.00153
IPO11	2.53	0.00386
IPO4	4.81	0.000887
ITGAV	1.25	0.00153
ITIH3	3.04	0.00154
ITM2B	2.04	0.00113
ITM2C	4.21	0.000249
ITPRID2	3.55	0.00332
IVD	5.72	0.000114
KCMF1	1.39	0.00163
KCTD12	6.04	6.05e-05
KIDINS220	4.29	0.000784
KIF13A	3.61	0.0417
KIF13B	1.53	0.0208
KIF1B	3.13	6.91e-05
KPNA2	2.53	0.000148
KPNA3	1.61	0.000582
KPNA6	3.95	0.000116
KRAS	2.59	0.00872
KRT13	2.97	0.0247
LAMB1	3.77	0.000142
LAMC1	2.37	0.00343
LAMP1	4.58	4.45e-05
LAMTOR3	2.68	0.00312
LARP1	3.03	0.00291
LMAN1	4.4	0.00017
LMO7	7.09	0.000512
LNPEP	8.15	9.88e-05
LONP1	1.15	0.00197
LRBA	3.24	0.000624
LRPPRC	8.24	0.000683
LTBP2	2.09	0.0038
MACF1	2.58	0.000637
MAGED2	3.66	0.00711
MAGT1	1.59	0.0206
MAN2A1	1.14	0.00339
MAP1A	2.18	0.000235
MAP1B	3.81	4.28e-05
MAP2K2	2.55	0.00015
MAP4	4.48	4.86e-05
MAP4K4	3.86	0.00306
MAPRE3	3.81	0.00303
MARCKS	1.04	0.0169
MARS1	2.4	0.000233
MATR3	1.62	0.0065
MCU	2.4	0.000358
ME2	2.21	0.000818
METAP2	2.7	0.0134
MGST1	5.08	0.000319
MIF	2.22	0.00786
MMP14	1.16	0.00665
MMS19	2.55	0.000775
MON2	2.7	0.00396
MRC2	1.43	0.0021
MROH1	2.45	0.000936
MRPL14	1.64	0.00858
MRPL15	5.03	0.000348
MRPL2	3.18	0.00965
MTDH	4.43	0.006
MTFR1L	2.2	0.00499
MTHFD1	2.25	0.00149
MTOR	2.68	0.000133
MTX1	3.45	0.0393
MTX2	2.33	0.000204
MVP	3.67	7.56e-05
MYADM	1.81	0.0012
MYDGF	1.77	0.00201
MYH14	2.18	0.0188
MYL12A	2.9	0.0197
MYLK	4.41	0.0115
MYO18A	2.41	0.00814
MYO1B	8.17	1.15e-05
MYO5A	3.16	0.00516
MYO6	3.24	0.00279
MYO9B	6.92	0.000205
MYOF	1.48	0.00104
NAE1	5.94	0.00402
NAGLU	1.94	0.0195
NAMPT	1.7	0.00129
NAP1L4	2.83	0.000215
NAXE	2.59	0.00127
NBAS	4.13	0.000499
NCDN	2.16	0.000746
NCEH1	2.63	0.000413
NCKAP1	1.46	0.00222
NCLN	1.23	0.00115
NDRG1	4.76	0.00861
NDUFA12	1.24	0.00223
NDUFA13	2.57	0.00404
NDUFS3	1.41	0.00129
NDUFS8	1.54	0.0166
NFS1	3.63	0.0446
NFU1	2.19	0.000228
NIPSNAP1	1.66	0.00122
NNMT	3.5	2.78e-05
NNT	1.75	0.00057
NOLC1	3.31	0.00352
NOMO2	1.93	0.00142
NOP56	4.65	8.88e-05
NOP58	2.91	0.0128
NOTCH2	6.82	0.00197
NPC1	2.2	0.001
NPC2	3.03	0.00124
NPTN	1.2	0.00322
NRDC	3.1	0.000173
NRP1	4.96	0.000521
NSUN2	1.73	0.0389
NT5C2	5.96	5.14e-05
NT5DC3	3.6	0.000483
NT5E	8.83	0.000954
NUDT2	1.25	0.00636
NUP205	3.99	0.000807
NUP214	4.19	4.08e-05
NUP93	3.01	0.0159
NUTF2	2.32	0.00044
NXN	3.66	0.00125
OCIAD1	1.93	0.000408
OGDH	2.46	0.000483
OSBP	1.91	0.0261
OSBPL8	4.01	2.18e-05
OXCT1	1.24	0.00442
OXSR1	1.5	0.000633
PAIP2	1.34	0.0185
PAM	1.54	0.000624
PAPSS2	6.17	3.53e-05
PARK7	1.32	0.0019
PCMT1	3.56	6.4e-05
PCYOX1	2.75	0.000416
PDE12	5.66	0.000193
PDIA4	1.54	0.0172
PDXDC1	2.57	0.00846
PEAK1	1.04	0.0421
PEBP1	1.31	0.0031
PELP1	3.92	0.000307
PEPD	3.43	0.000311
PEX11B	4.89	0.00429
PFKM	3.25	0.000415
PFKP	2.43	0.000193
PGLS	1.88	0.00327
PHB1	1.28	0.000892
PHPT1	4.81	0.0141
PI4K2A	2.51	0.000499
PIK3R4	1.27	0.0117
PITRM1	4.72	8.65e-05
PKD2	1.89	0.025
PKN2	4.94	0.000141
PLAA	1.04	0.00593
PLCB3	4.9	4.67e-05
PLCG1	1.62	0.00667
PLEC	1.47	0.000682
PLIN3	7.61	0.000249
PLOD1	1.01	0.00179
PLOD3	1.04	0.0132
PLPP3	4.95	0.000564
PLXNB2	2.06	0.0116
PMPCA	6.64	0.0027
PMPCB	3.51	0.00224
PNPLA6	1.79	0.0292
POFUT1	2.34	0.000264
POFUT2	3.51	0.000144
POLR2A	4.06	0.00176
POLR2B	1.63	0.000523
POLR2I	1.65	0.00146
POTEF	2.91	0.00175
PPA1	3.03	6.4e-05
PPM1B	2.28	0.00135
PPM1F	2.48	0.000556
PPP1R12C	1.35	0.0348
PPP3R1	1.28	0.0357
PPP6R3	3.48	0.000751
PRDX2	1.23	0.00174
PRKACA	1.78	0.000739
PRKAR2A	1.69	0.00156
PRKCSH	1.92	0.000408
PRPF8	1.54	0.000746
PRPS1	4.18	2.24e-05
PRPSAP2	3.65	0.000112
PRRC1	3.1	0.000261
PSAP	2.18	0.00703
PSMD10	4.09	0.00339
PSMD5	1.27	0.00619
PSMD8	1.73	0.000408
PSME1	1.61	0.00129
PSME2	6.32	0.00219
PSME4	1.18	0.0135
PSPC1	3.03	0.00977
PTGIS	2.41	0.00427
PTPN1	1.14	0.0139
PTPN23	2.85	0.0238
PTPRA	1.39	0.0201
PTRH2	4.76	6.4e-05
PURB	1.18	0.0102
PXDN	2.88	0.00302
PXN	3.02	0.00183
PYCR2	3.99	0.0148
PYGB	1.03	0.00201
PYM1	3.07	0.0216
PZP	1.11	0.0211
QARS1	2.37	0.000839
RAB11A	2.38	0.0482
RAB11FIP5	2.99	4.67e-05
RAB1B	1.37	0.0132
RAB32	1.84	0.0016
RAB34	2.41	0.00049
RAB3GAP1	5.17	2.24e-05
RAB3GAP2	2.53	0.000157
RAB43	3.34	7.56e-05
RAB8A	1.57	0.00251
RAB9A	1.84	0.00154
RABGAP1L	1.98	0.0232
RABGEF1	3.75	0.00056
RABGGTA	3.88	0.00328
RAD50	4.45	0.000459
RALA	1.4	0.00142
RALB	2.53	0.00364
RANBP2	4.45	0.00655
RBM25	7.54	1.83e-05
RBM39	1.54	0.027
RELCH	4.2	0.000915
RER1	1.76	0.00233
RIC8A	5.66	0.000499
RIPOR1	2.29	0.00261
RNF149	3.59	0.000876
RNH1	4.04	4.27e-05
RNPEP	1.46	0.00312
RO60	2.02	0.000204
RPL13	1.13	0.00194
RPL13A	1.29	0.00166
RPL14	2.47	0.00048
RPL17	1.64	0.00216
RPL19	1	0.00597
RPL21	1.94	0.000199
RPL23A	1.04	0.0104
RPL27A	3.59	0.000349
RPL32	3.15	0.000316
RPL35	2.69	0.00125
RPL36	1.22	0.00734
RPL37A	1.93	0.000609
RPL4	1.31	0.00427
RPL6	2.13	0.000699
RPL7A	1.32	0.00183
RPLP1	1.03	0.0127
RPN2	1.1	0.00194
RPS24	1.74	0.00768
RPS27L	2.34	0.00166
RRBP1	4.79	4.66e-05
RTN4	2.76	6.54e-05
SAMD4B	3.56	0.0105
SBF1	2.48	0.0171
SCCPDH	1.06	0.0232
SCFD2	1.97	0.000699
SCP2	2.06	0.00272
SCRN1	1.38	0.00187
SCYL1	6.03	0.000193
SDCBP	4.51	2.47e-05
SDF4	3.27	0.000734
SEC16A	5.34	0.00168
SEC24B	3.08	0.000228
SEC63	1.31	0.0159
SEL1L	2.12	0.0219
SERPINE2	6.35	4.86e-05
SF3A3	3.27	0.0107
SF3B1	1.85	0.0178
SF3B2	5.3	0.000918
SFXN1	7.23	3.68e-05
SHOC2	2.19	0.0258
SIL1	2.76	0.000264
SKIV2L	6.08	0.000119
SLC12A2	2.5	0.00123
SLC25A1	1.8	0.000776
SLC25A11	2.04	0.000231
SLC25A12	6.57	5.3e-05
SLC25A13	1.43	0.0146
SLC25A20	3.6	5.45e-05
SLC25A22	2.3	0.00184
SLC25A24	4.82	0.00282
SLC25A6	12.1	2.24e-05
SLC39A7	5.47	0.0013
SLC3A2	1.08	0.0045
SLC4A2	3.67	0.0194
SLC7A1	2.74	0.00137
SMARCA5	1.42	0.00508
SMG1	6.32	0.0012
SND1	1.21	0.0018
SNRNP200	1.33	0.00467
SNRNP70	3.35	0.0316
SNRPA1	1.92	0.025
SNRPB2	2.36	0.00251
SNRPD1	2.04	0.00188
SNX3	1.24	0.00708
SOD1	5.5	5.91e-05
SOD2	1.85	0.000354
SORD	5	0.0048
SPATA5	2.53	0.00216
SPTBN1	1.19	0.00238
SPTLC2	2.12	0.00238
SQSTM1	5.14	2.18e-05
SRC	2.35	0.0421
SRP14	1.13	0.00228
SRP72	1.26	0.00584
SRRT	1.6	0.0287
SRSF9	1.12	0.00567
SSB	6.21	0.0107
SSBP1	4.57	5.91e-05
STAT1	6.57	2.24e-05
STK24	1.27	0.00458
STK39	1.29	0.0197
STOML2	1.72	0.00146
STX3	2.41	0.00186
SUCLG1	1.13	0.00519
SUPT5H	4.59	3.39e-05
SUPT6H	2.55	0.00115
SVIL	3.9	0.00014
SWAP70	3.54	0.00411
SYNE1	5.33	0.00011
SYNJ2BP	1.94	0.00829
TAOK1	3.01	9.92e-05
TBC1D15	3.1	4.43e-05
TBCD	1.61	0.000335
TBL2	1.76	0.00044
TCEA1	2.7	0.000745
TGM2	1.46	0.00153
THBS4	1.52	0.0349
THOP1	1.31	0.0112
THRAP3	4.39	5.91e-05
TIMM44	3.93	0.00118
TIPRL	2.82	0.00193
TJP1	4.38	0.00378
TJP2	2.67	0.0242
TLN2	2.18	0.0118
TMEM14C	2.71	0.00105
TMEM33	1.49	0.0386
TMF1	2.58	0.00322
TNFAIP8	2.69	0.0198
TNPO3	1.94	0.016
TOM1	2.89	7.48e-05
TOMM22	1.69	0.00336
TOMM40	2.71	0.000148
TOP2B	1.89	0.0441
TOR1A	5.58	4.06e-05
TOR1AIP2	3.06	0.000207
TPD52L2	1.85	0.00126
TPR	1.55	0.000546
TRAPPC4	1.15	0.0302
TRIO	3.81	0.00059
TRIP11	2.21	0.00146
TRIP12	4.39	0.00971
TSNAX	4.29	0.0436
TTL	3.46	0.00655
TTLL12	5.58	0.000359
TUFM	1.08	0.00176
TXNDC5	1.61	0.000746
TXNRD1	1.31	0.000983
U2SURP	5.17	0.000121
UBE2D1	3.5	0.000116
UBE2D2	1.23	0.00144
UBE2I	1.13	0.0165
UBE2Z	1.29	0.0106
UBE3C	1.32	0.00194
UBE4A	4.67	8.93e-05
UBE4B	1.73	0.0166
UBLCP1	3.81	0.00688
UBR4	1.45	0.00734
UFL1	4.3	0.000245
UGGT1	2.47	0.00026
UGGT2	5.78	0.00278
UNC45A	1.24	0.00785
UPF1	1.37	0.00315
UQCRC1	2.94	0.000269
UROD	1.02	0.00667
USP10	2.19	0.0136
USP15	3.54	0.00104
USP47	2.18	0.00971
USP7	3.83	4.27e-05
UTRN	4.2	0.000592
VAC14	2.92	0.00261
VAMP2	3.21	7.56e-05
VAMP7	2.19	0.00181
VARS1	1.68	0.000687
VDAC3	6.27	0.00117
VPS13C	1.51	0.0148
VPS18	6.1	6.47e-05
VPS33A	4.38	0.0028
VPS50	2.3	0.0035
VPS53	3.57	0.00109
VWA8	3.28	0.00261
WASHC5	1.57	0.000358
WDFY1	3.09	0.000275
WDR26	2.04	0.00191
WDR61	5.85	5.38e-05
XPO7	4.23	0.0353
XPOT	4.33	4.97e-05
XRN2	3.97	0.00044
YWHAQ	1.3	0.00227
ZW10	5.94	0.000211
ZYX	2.14	0.000349
