ID	CS.T2DM_vs_M.Ctr_ratio	CS.T2DM_vs_M.Ctr_p.adj
INF2	1.5	0.0281
FABP5	2.17	0.00554
COL6A2	2.48	0.015
WASHC5	1.01	0.00224
SPCS2	1.89	0.000104
TPD52L2	2.36	0.000236
RPN2	2.91	9.21e-05
SEC24B	2.48	2.33e-05
FKBP9	2.43	0.000101
SUCLG2	1.02	0.000778
LAMC1	1.66	0.00134
MIF	2.79	0.00148
MYO5A	4.73	9.79e-05
FLOT1	2.34	0.000855
DCTN2	1.43	0.000159
FABP3	1.08	0.00148
VTN	1.34	0.00811
NAP1L4	2.21	0.000394
NNMT	3.18	7.97e-06
LRRC47	1.09	0.00383
AK3	2.17	0.00012
HADH	2.44	0.000163
TOM1	2.25	4.49e-05
VDAC3	7.26	0.000245
ACADVL	3.55	5.32e-05
CD44	3.11	2.06e-05
PXN	1.95	0.00189
ITIH3	2.63	0.000799
SSBP1	4.85	4.1e-06
ADH5	4.43	2.84e-05
DDAH2	1.67	0.000235
STT3B	2.11	0.000267
CAPN1	4.4	1.31e-05
ATP6V1D	1.25	0.00105
MTHFD1	1.75	0.000197
ATP13A1	2.16	0.000208
PRKCSH	1.8	0.000113
USP7	1.31	0.00175
C12orf57	2.17	0.0015
ATP5F1C	1.25	0.00332
SNRPD1	2.02	0.000778
GNS	1.49	0.000769
PCMT1	3.04	4.15e-05
NAXE	1.73	0.00024
MTDH	1.19	0.00829
DDX19A	1.23	0.000989
ERLIN2	1.73	0.000186
BDH2	2.02	5.63e-05
FKBP10	2.68	4.53e-05
TOMM22	2.02	0.000451
PRKG1	3.05	0.000698
EMC1	2.94	5.63e-05
DOCK7	1.93	0.00011
ATAD3A	2.51	0.000674
ACOT7	4.52	3.22e-06
FIS1	1.29	0.000538
PDLIM2	1.29	0.000591
TMEM14C	6.25	3.25e-06
PRPF19	1.11	0.000523
CCN1	1.62	0.00744
ACSL1	1.27	0.000778
BLVRB	1.07	0.00481
ACSL4	1.58	0.00145
SDCBP	3.77	5.55e-06
PAPSS2	6.01	1.2e-05
ILF3	1.6	8.76e-05
APEH	1.47	0.000178
GSTO1	5.42	5.7e-06
ETHE1	3.57	2.34e-05
DTD1	1.35	0.00203
PCYOX1	2.69	8.97e-05
MAP4	4.23	3.6e-05
H3C15	3.54	0.00505
PITRM1	3.69	1.5e-05
CDC42BPB	2.68	0.000107
SLC25A22	1.97	0.00279
AAK1	1.43	0.00198
PRRC1	4.14	1.78e-05
PGM2	1.72	0.00093
GBA	1.95	0.00186
ACOT9	1.73	0.000337
LARP1	1.14	0.000381
PSAP	5.1	1.19e-05
SLC25A1	1.82	0.000219
EIF2B1	2.54	3.99e-05
SRC	2.87	0.0071
DIP2B	1.47	0.00714
FTL	6.13	4.42e-06
SLC25A12	5.25	4.73e-05
SRP14	1.65	0.00187
MYDGF	2.54	8.5e-05
ME2	1.63	0.00069
STOML2	1.28	0.00289
APOB	4.81	0.000175
CIRBP	1.76	0.00265
H3-3A	5.59	0.00023
HDHD2	1.46	0.000843
WDR11	1.2	0.00591
DDX19B	5.15	3.98e-05
COMMD3	1.9	0.00237
NPTN	1.15	0.000769
NIPSNAP1	1.4	0.00104
SCP2	2.58	0.000128
DNAJB1	1.58	0.0164
WFS1	1.22	0.000469
PEPD	4.42	3.51e-06
TM9SF3	1.39	0.000649
BLVRA	1.26	0.00134
OCIAD1	1.94	9.43e-05
TSNAX	1.44	0.0272
AKR1C1	4.13	3.32e-05
HMOX1	1.58	0.000316
NDUFS3	1.97	0.000354
HSPB6	8.06	2.23e-06
CPNE3	4.12	4.57e-06
PPIH	1.29	0.0279
PTPN1	1.46	0.00326
ARL6IP5	2.53	2.43e-05
ATPAF2	1.22	0.0499
AKT1	1.12	0.00797
EIF5B	1.89	0.00759
DERA	1.31	0.0118
RAB3GAP2	1.89	0.000248
MON2	1.62	0.000169
DHX30	1.63	0.000478
PRKCA	1.6	0.00115
ATP5PD	4.1	7.97e-06
OXSR1	1.52	0.00263
PRKAG1	1.58	0.00174
SOD2	1.88	0.000159
EFL1	2.58	0.00012
APRT	1.45	0.000745
SLC25A20	5.91	6.37e-05
FAM3C	2.78	0.000393
NPC1	2.88	8.16e-05
NUP93	2.11	0.0131
EXOC4	2.58	0.0358
USP15	1.92	0.00112
CBFB	2.32	0.0412
SPATA5	3	0.0297
VTA1	1.02	0.00063
BCAP31	3.75	6.26e-05
TBCD	1.03	0.000597
MARS1	2.13	8.13e-05
LAMB1	2.46	5.55e-05
IMPA1	6.38	0.000139
SOD1	6.73	9.27e-06
SLC25A24	1.77	0.00727
EPS15	1.06	0.0091
CLASP2	2.1	0.00212
ACAD9	3.45	0.00499
RAB11FIP5	2.66	1.63e-05
TMEM33	4.03	0.000132
H3C1	1.56	0.00922
UBE2D1	2.66	0.0082
CACYBP	1.07	0.0227
RTN3	1.43	0.00135
EXOC5	1.72	0.000336
SCAMP1	2.1	0.000773
ACAA1	3.76	6.77e-06
WDR61	4.87	4.35e-05
VAMP7	2.94	2.68e-05
VAC14	2.03	0.00109
RELCH	1.81	0.000597
CUTA	5.74	5.7e-06
MRPL14	2.05	0.000628
NRDC	2.01	0.000163
LMO7	4.49	8.83e-05
VPS13C	2.71	0.00105
NCDN	2.23	3.27e-05
NCLN	1.56	0.000127
AHSA1	2.98	0.012
IDI1	1.44	0.000336
XPOT	2.86	4.46e-05
COX5A	1.06	0.0281
TOR1AIP2	2.66	0.000157
APMAP	3.29	0.000224
ABCC1	3.08	0.000138
PTRH2	4.09	2.14e-05
SEC63	1.87	0.000278
GALNT2	2.21	9.2e-05
PKD2	1.58	0.00363
TMEM106B	1.48	0.00231
UBE2I	1.68	0.00232
IPO11	3.19	0.00104
PLCB3	2.52	0.000101
GNL1	3.77	2.73e-05
POLR2I	2.07	0.00246
MAN2A1	1.9	8.92e-05
CSTB	5.26	9.23e-06
AP3M1	2.09	0.000106
DNAJC5	1.62	0.00404
PI4K2A	2.52	0.000359
MCU	4.13	9.27e-05
LAMTOR3	1.23	0.000859
PTPN23	1.02	0.00299
COMMD4	4.5	0.000913
IGF2R	6.33	7.97e-06
HERC4	2.37	0.000189
THRAP3	1.49	0.000611
MYO1B	8.74	2.23e-06
CUL4B	2.92	6.02e-05
WDR82	3.05	0.0252
COMMD9	2.44	5.67e-05
NUDT2	1.67	0.000944
AGL	3.54	5.33e-05
TOMM40	4	0.00528
NBAS	3.63	7.84e-06
CHD4	2.01	7.79e-05
UQCRC1	2	0.000266
ABCF3	2.43	6.53e-05
TM9SF4	1.25	0.00624
GOLGB1	1.09	0.0131
SERPINA7	2.77	0.000701
NDUFA12	1.5	0.00618
EXOC7	1.69	0.0012
OSBP	1.48	0.00762
SERPINE2	6.4	2.23e-06
SNRPG	1.26	0.0176
HSD17B4	4.25	0.000166
GABARAPL2	3.14	8.91e-05
PIK3R4	2	0.000776
SEC16A	2.75	1.2e-05
UGGT2	4.04	3.16e-05
ITM2B	1.98	7.59e-05
MYO9B	6.41	1.32e-05
SCCPDH	1.15	0.0127
TIMM44	3.8	0.000942
ITM2C	2.63	4e-05
NAGLU	2.64	0.00464
NUP214	2.2	0.000113
DRG2	1.54	0.000597
AFG3L2	1.28	0.0301
ACAT1	3.74	5.1e-05
HAGH	2.46	9.89e-05
IARS2	2.78	7.71e-05
GRN	4.1	8.46e-05
RANBP2	1.13	0.000369
STAU1	1.82	0.00023
PYCR2	1.29	0.00461
CRTAP	2.48	0.000657
NUMB	1.75	0.000132
IPO4	3.09	0.000219
NAE1	4.32	1.14e-05
GLB1	3.24	0.000138
ANKFY1	3.62	5.32e-05
NRP1	3.81	0.00173
POFUT2	3.05	0.000117
NT5E	6.65	0.000291
MAPRE3	2.77	0.00111
CDK6	2.34	0.0112
SUB1	1.57	0.000482
KIF13A	5.69	9.45e-05
NT5DC3	2.28	0.00194
SLC12A6	2.49	0.0127
SEL1L	2.17	0.00659
RER1	2.94	0.000233
PYM1	2.14	0.000376
ARMCX3	2.32	0.0023
COMT	6.17	1.21e-05
PPM1F	2.29	0.00496
VPS45	1.21	0.018
WDFY1	3.01	0.000278
MAP4K4	5.7	1.61e-05
PDE12	3.74	0.000523
MROH1	1.82	0.000898
CLPTM1L	2.13	0.000681
POLR2B	1.38	0.000693
PIP4P2	5.24	0.00262
ECHDC1	1.8	0.000611
RAB9A	2.32	0.00266
FKBP15	1.51	0.0162
MAGED2	3.22	0.00666
ACACA	3.15	0.00241
TXN2	1.05	0.00939
TBC1D15	1.86	0.0041
ACAA2	2.17	4e-05
ACADSB	1.36	0.00144
NCEH1	2.9	0.00022
RAB24	4	2.14e-05
TRAPPC4	1.79	0.00467
RO60	2.76	3.28e-05
DERL1	1.58	0.000523
BIRC6	2.78	0.0141
RAB3GAP1	3.75	1.32e-05
SLC4A2	1.28	0.000258
SYNJ2BP	1.39	0.0137
HTT	3.21	2.65e-05
GIT2	3.63	0.00307
MTX2	3	0.000146
PHPT1	3.62	0.0263
EXOC3	2.26	0.0286
IGF2BP3	3.9	0.00986
PTGIS	1.78	0.000398
LSM4	1.23	0.00187
ACSL3	4.42	0.000691
MMS19	1.47	0.000738
TRIOBP	2.26	0.0196
ARFGEF1	4.74	4e-05
KIDINS220	4.09	3.32e-05
BCAR1	1.23	0.0216
COTL1	4.49	4.72e-05
ACAT2	3.16	6.77e-06
PPP3R1	1.25	0.031
ACOX1	2.82	0.00317
NXN	3.85	1.63e-05
PAM	2.1	0.000101
POFUT1	1.97	0.000119
TM9SF1	2.13	0.000251
HM13	7.22	2.71e-06
FABP4	4.35	0.0028
KCTD12	6	9.54e-06
DENND4C	1.63	0.00538
SAMM50	4.03	0.0358
TBL2	1.53	0.000381
PFKM	3.77	0.00018
CLCN7	3.47	1.46e-05
ECE1	2.76	0.00882
LAMP1	5.22	7.16e-06
PLPP3	5.48	5.1e-05
RIC8A	2.55	0.00983
MYLK	5.99	0.000104
TRIO	2.55	1.31e-05
NPC2	3.1	1.28e-05
NUP205	3.08	0.000514
STAT1	6.19	2.23e-06
PELP1	1.37	0.00217
ASPH	4.79	8.46e-05
GYS1	3.5	4.46e-05
UBE4A	2.44	0.00022
PRKCD	3.48	0.000268
NT5C2	5.51	3.07e-05
XRN2	2.6	0.00116
NOLC1	1.99	0.0138
NDUFA13	4.07	0.000692
ADD1	3.72	3.32e-05
RAB32	4.62	0.000715
SCFD2	1.98	0.000329
CC2D1B	1.45	0.00105
AP3M2	3.69	0.000126
GUK1	3.96	0.000228
ATP5MF	5.67	3.25e-06
CDKN2A	6.21	3.32e-05
POLR2A	1.73	0.000201
IGFBP7	5.68	0.0162
PRPSAP2	3.5	5.1e-05
FYCO1	1.36	0.0144
TMF1	1.17	0.00487
STX3	2.19	0.000942
AGFG1	2.65	6.54e-05
SH3PXD2A	1.23	0.0412
GFM1	2.71	0.0076
SNRPB2	2.27	0.0163
SH3GLB2	1.85	0.0155
ISOC1	1.05	0.0101
FOCAD	4.1	0.000603
SIL1	2.15	0.00293
LRPPRC	5.46	3.4e-06
C9orf64	1.26	0.0264
ANO6	2.47	8.21e-05
UFL1	2.56	0.00012
GATD3B	2.1	0.000672
GAK	1.54	0.00062
VPS33A	3.35	7.66e-05
MGST1	7.23	6.47e-06
GSTM1	3.15	5.63e-05
SMURF2	1.31	0.00251
MRPL2	3.28	0.00309
DAB2	3.41	0.0297
PPP6R3	1.21	0.034
PMPCB	3.48	0.00159
ASCC3	4.16	4.42e-06
CIAO2B	1.06	0.0419
NFS1	1.54	0.0133
MAGT1	4.43	0.0044
TIPRL	2.57	2.68e-05
PCBD1	1.63	0.000769
ARFGAP2	4.35	0.00326
ABCD3	3.48	0.000139
HMGCS1	2.62	0.00772
MYADM	2.87	0.000101
CEP170	4.46	3.87e-05
LRBA	3.29	0.000451
GBE1	4.51	1.68e-05
IVD	4.16	5.7e-06
AMDHD2	1.13	0.00559
ATG7	3.36	0.000408
LMAN1	3.92	4.61e-06
ECI2	3.25	1.59e-05
FAH	3.67	1.17e-05
TOR1A	6.46	3.03e-06
PPP3CC	3.61	0.0244
SWAP70	2.59	0.00127
SUPT5H	3.65	0.00218
SDF4	2.67	0.000859
SF3B2	2.94	0.000146
SVIL	2.03	0.0209
NFU1	2.27	0.00016
EEF1E1	3.01	0.000175
DPP9	4.3	0.00115
GOSR1	1.3	0.00235
RAD50	2.82	3.65e-05
SLC7A1	3.29	7.87e-05
OSBPL8	3.95	5.7e-06
TRIP11	2.04	0.000375
GPD2	1.73	0.0129
SCYL1	3.14	0.00148
ALDH1L2	3.99	0.000574
GGCT	5.44	0.000122
LNPEP	8.88	0.000162
SLC12A2	3.32	4.32e-05
CPD	2.06	0.00488
SBF1	1.73	0.0013
GABARAP	2.56	0.000855
ANO10	4.01	0.00023
PLIN3	8.04	3.25e-06
RBM25	3.74	6.3e-05
SYNE1	5.06	2.27e-05
SPTLC2	2.04	0.00417
SKIV2L	6.1	5.66e-05
PSME2	3.78	6.97e-05
MRPL15	2.71	0.00071
FAM177A1	4.89	0.00905
MTFR1L	1.39	0.00519
RNF149	2.61	0.000183
RABEP2	1.84	0.000761
TNFAIP8	2.75	0.0225
RABGGTA	4.05	0.00178
HEATR5B	1.99	0.00229
DDX42	2.96	0.00314
U2SURP	1.36	0.0311
NAT10	2.91	0.00379
TWF2	3.4	0.00841
KDSR	5.65	6.12e-06
NOTCH2	7.01	0.000379
VPS18	5.78	0.000152
NDRG1	2.17	0.0301
M6PR	1.92	0.0439
PEX11B	5.95	1.94e-05
ITPRID2	1.76	0.000122
VPS53	2.98	0.0398
SLC39A7	4.29	0.00456
TAOK1	1.38	0.000885
PKN2	3.88	0.000118
SAMD4B	2.51	0.0215
SF3A3	1.37	0.0055
ARHGAP35	3.01	0.00011
ABHD16A	1.16	0.0416
HEATR5A	2.63	0.00164
CD109	4.61	0.00248
ASAH1	7.7	0.00158
FAP	9.16	4.54e-05
ANK2	3.64	2.08e-05
RRP12	2.12	0.00192
KPNA2	2.04	0.00601
HIBCH	2.51	0.000463
RAB34	5.77	1.01e-05
ERGIC3	1.96	0.000202
PSMD10	3.62	5.32e-05
TTLL12	6.04	0.000233
SMG1	6.68	0.00014
SUPT6H	1.65	0.0058
CSTA	1.13	0.0216
DDT	7.72	0.000252
PPP1R9B	2.01	0.00985
UBLCP1	2.48	0.000713
PMPCA	5.32	0.00312
SORD	3.76	0.000148
