ID	CS.T2_vs_N.ctr_ratio	CS.T2_vs_N.ctr_p.adj
FIS1	5.56	0.00562
NLRX1	3.45	0.0158
PDLIM2	1.96	0.0339
TMEM14C	1.9	0.0443
SEC11A	5.08	0.0132
RBMS1	1.81	0.0342
ACSL1	4.69	0.0324
ILF2	3.81	0.0338
DHX15	4.79	0.034
PAPSS2	2.16	0.0405
BAG3	4.64	0.0338
ILF3	3.94	0.0158
SUCLA2	2.09	0.0288
PTPN9	4.8	0.0132
PITRM1	3.43	0.0439
AAK1	2.24	0.027
PRRC1	2.01	0.0334
ACOT9	6.94	0.00562
LARP1	3.57	0.00768
IGF2BP2	3.2	0.0111
PRKAA1	3.64	0.00768
EFR3A	3.42	0.033
PPP2R5D	2.94	0.0248
TIMM13	4.38	0.0181
SRC	3.08	0.0387
HNRNPLL	3.21	0.0487
SUPT16H	4.69	0.00772
SYNPO	2.66	0.0221
EDC4	3.02	0.0406
PEAK1	3.23	0.0166
SF3A1	3.02	0.0117
SLC27A4	2.25	0.0449
ABHD12	2.5	0.0238
COL12A1	4.97	0.0071
APOB	5.2	0.00768
HCFC1	3.2	0.0329
SCP2	4.5	0.00579
RBBP7	3.68	0.0405
TM9SF3	5.95	0.0209
SF3B6	2.18	0.0357
ARL6IP5	3.86	0.0153
RAB3GAP2	2.4	0.0252
MON2	1.92	0.0329
CLASP1	1.85	0.0478
RHOT1	2.11	0.0263
NPC1	4.86	0.00705
ALDH3A2	2.85	0.0257
MARS1	3.86	0.0102
UQCRQ	3.64	0.00918
TMPO	2.66	0.0136
GIT1	5.63	0.00562
H3C1	2.16	0.0334
RUFY1	4.47	0.00562
NENF	4.05	0.0242
NOP56	4.33	0.0075
GNG12	4.89	0.0071
TOP2B	2.54	0.0313
TFRC	6.35	0.00562
RABGAP1	2.28	0.0419
VPS13C	4.7	0.0219
NCLN	3.82	0.0166
MCRIP1	3.99	0.0313
SRRT	2.48	0.0267
U2AF2	3.21	0.0298
COX5A	7.02	0.00925
DNAJC3	3.97	0.0221
ABCC1	3.51	0.00768
TIMM8B	4.06	0.0099
PKD2	1.95	0.0357
TMEM106B	2.52	0.0213
PPP1R13L	2.87	0.0315
GNL1	3.22	0.0115
MAN2A1	5.06	0.00562
CYP20A1	4.5	0.00925
TMX4	2.39	0.0267
LAMTOR3	3.88	0.0406
PTPN23	2.32	0.0264
HERC4	3.74	0.0198
NUCB2	3.76	0.0303
AGL	1.94	0.0382
TOMM40	5.16	0.00562
NBAS	1.93	0.047
TM9SF4	2.38	0.0252
GOLGB1	2.55	0.0221
UBE4B	2.02	0.0305
NDUFA8	3.74	0.0207
OSBP	2.31	0.0339
NUMBL	3.79	0.0305
DAZAP1	4.2	0.023
MICU1	2.64	0.0166
TIMM44	2.6	0.0428
SAMD9L	2.94	0.0305
COG3	4.9	0.00562
BCKDHA	3.96	0.00735
ACAT1	4.19	0.0117
ATXN2	3.97	0.00763
IARS2	3.24	0.0115
RANBP2	2.75	0.0334
PYCR2	4.35	0.00918
CRTAP	3.84	0.0112
PHLDB2	4.08	0.0183
QKI	3.57	0.034
GOLGA2	3.11	0.0104
MBNL1	5.33	0.00918
LEMD2	4.48	0.00768
ATP5F1D	6.11	0.0242
GIGYF2	3.07	0.033
CHID1	2.5	0.0357
BLMH	2.39	0.0406
NOP58	4.1	0.0221
SMARCC2	3.26	0.0102
YAP1	2.55	0.0342
RNF7	3.45	0.034
MROH1	2.64	0.0274
POLR2B	2.75	0.0128
BLOC1S4	2.52	0.0286
NCEH1	4.55	0.00768
RO60	2.44	0.0322
SCRIB	3.48	0.012
HTT	2.18	0.0252
SLC9A3R1	2.43	0.0339
SEC61B	6.32	0.00961
ORMDL3	2.2	0.0313
TM9SF1	2.43	0.0213
SMARCA5	3.28	0.00978
TNC	4.53	0.0139
GYS1	5.38	0.0329
STAT5B	2.57	0.0257
CCDC93	2.68	0.0238
C9orf64	1.79	0.0447
GAK	3.45	0.017
SMURF2	2.81	0.0242
MYADM	4.3	0.0224
GBE1	4.79	0.045
IVD	2.15	0.0252
SMAD2	3.33	0.0298
SUPT5H	2.14	0.0339
ALDH1L2	3.13	0.0442
ANO10	3.03	0.0099
STX6	3.67	0.0406
EMC6	4.01	0.0158
GOPC	4.73	0.0132
HIBCH	2.08	0.0357
UBE2G2	3.46	0.0219
