ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
DRG1	-2.07	0.00254
DSG1	-3.78	0.00251
DSTN	-2.3	0.000419
DYNC1I2	-1.29	0.00156
DYNC1LI1	-1.94	0.000211
DYNLL1	-1.27	0.00666
DYNLRB1	-1.48	0.0128
DYNLT1	-1.83	0.00181
EEF1A1	-1.24	0.00715
EEF1G	-1.28	0.00188
EEF2	-1.55	0.00062
EFR3A	-1.18	0.0214
EHD4	-4.68	2.24e-05
EIF1AX	-1.24	0.00484
EIF2S1	-2.75	0.000191
EIF2S2	-1.81	0.000767
EIF2S3	-2.22	0.000187
EIF3B	-2.43	0.000798
EIF3E	-1.17	0.00487
EIF3F	-1.34	0.00216
EIF3I	-1.66	0.000446
EIF3J	-2.01	0.000672
EIF3K	-1.48	0.00135
EIF4A1	-1.8	0.000699
EIPR1	-1.1	0.0361
ELAVL1	-2.51	0.00303
ELP1	-1.41	0.0119
EMC2	-1.24	0.000934
EMC3	-1.01	0.00499
EMC6	-2.7	9.24e-05
EMC8	-2.08	0.000714
EML1	-4.91	0.000196
EML2	-2.6	0.00114
ENO2	-4.41	5.91e-05
ENO3	-6.6	0.00135
ERH	-1.41	0.013
ETF1	-2.17	0.000161
F10	-5.97	5.64e-05
F2	-2.24	0.000379
FARP1	-2.52	0.000462
FBLN1	-3.79	0.00177
FBLN2	-6.41	3.28e-05
FERMT2	-3.21	0.000114
FGB	-5.55	0.000906
FGG	-6.16	0.00144
FHL1	-7.95	9.39e-06
FHL2	-1.14	0.00296
FHL3	-3.96	6.05e-05
FKBP11	-1.28	0.0256
FLNA	-1.46	0.00131
FNDC3B	-1.89	0.000517
FSTL1	-2.28	0.000924
FUS	-2.89	6.4e-05
FXN	-1.58	0.0466
GALE	-2.25	0.0168
GALK2	-5.94	2.18e-05
GAPDHS	-7.6	4.71e-05
GC	-2.62	0.049
GDA	-11.4	4.55e-06
GDI1	-2.2	0.000264
GDI2	-1.17	0.00325
GET4	-1.46	0.00125
GID8	-1.64	0.0113
GLIPR2	-4.83	5.91e-05
GLUD1	-1.97	0.000141
GMDS	-3.14	0.000279
GMFB	-1.07	0.0123
GMPPB	-1.61	0.000574
GNAI2	-1.75	0.000835
GNAQ	-2.59	5.57e-05
GNAS	-1.06	0.00206
GNB1	-1.96	0.000471
GNB2	-2.16	0.000446
GNB4	-1.35	0.0343
GOLGA7	-1.26	0.0191
GOLT1B	-2.17	0.0013
GPD1L	-2.5	0.000119
GPX3	-6.78	2.18e-05
GREM1	-1.08	0.00752
GSK3A	-1.85	0.0429
GSK3B	-1.29	0.00197
GSPT1	-1.97	0.000204
GSTA1	-8.58	0.00016
GSTA5	-11.9	2.97e-06
GSTM5	-12	5.58e-05
GYG1	-2.11	0.0032
HBA1	-3.71	0.000587
HDGFL3	-2.25	0.000149
HGFAC	-2.35	0.00124
HIBADH	-3.23	4.82e-05
HMGB1	-1.19	0.0453
HNRNPA3	-1.92	0.000602
HNRNPAB	-3.48	4.27e-05
HNRNPH1	-5.29	2.18e-05
HNRNPK	-1.66	0.000327
HNRNPLL	-1.74	0.0217
HNRNPU	-1.45	0.00134
HPCAL1	-3.5	0.000228
HPRT1	-4.64	3.68e-05
HRNR	-2.77	0.0398
HSD17B8	-3.14	0.000366
HSP90AB1	-3.57	4.43e-05
HSP90B1	-1.41	0.000678
HSPA1B	-1.92	0.000518
HSPA1L	-3.17	0.00227
HSPA4	-1.31	0.0018
HSPA5	-1.96	0.000164
HSPA8	-1.74	0.000284
HSPA9	-1.97	0.000211
HSPD1	-1.24	0.000893
IDH1	-1.71	0.000473
IDH3A	-2.8	8.15e-05
IDH3B	-1.04	0.00306
IDH3G	-1.09	0.00488
IFT22	-2.53	0.0168
IGFBP2	-4.65	0.000214
ILK	-2.98	6.4e-05
IMPACT	-4.83	2.44e-05
IMPDH1	-3.28	0.000917
IMPDH2	-2.07	0.000423
IPO5	-1.53	0.000408
IPO9	-1.24	0.0048
IST1	-2.32	9.66e-05
ITGA1	-7.11	2.24e-05
ITIH1	-3.57	0.00097
ITPA	-1.5	0.000687
ITPR1	-5.82	1.34e-05
JAGN1	-1.17	0.0101
JPT1	-1.38	0.0372
JUP	-4.06	0.000192
KIF2A	-1.37	0.00111
KIF5B	-1.24	0.00108
KLHL22	-2.45	0.00504
KRT1	-4.29	0.00201
KRT10	-4.39	0.00454
KRT14	-4.63	0.00028
KRT16	-7.66	9.15e-05
KRT17	-6.46	0.0127
KRT2	-4.51	0.00297
KRT5	-4.47	0.000771
KRT6A	-7.31	7.99e-05
KRT6B	-5.18	0.000813
KRT77	-6.01	4.06e-05
KRT78	-2.54	0.0276
KRT80	-3.95	0.000733
KRT9	-4.3	0.000363
LAP3	-1.67	0.000797
LCP1	-1.59	0.000562
LEMD2	-1.46	0.00146
LGALSL	-3.66	6.91e-05
LIMS1	-3.7	5.64e-05
LIMS2	-5.62	4.77e-05
LMCD1	-3.62	6.05e-05
LMNA	-1.17	0.00097
LMNB1	-3.89	0.000288
LMOD1	-4.33	2.8e-05
LPP	-1.43	0.00083
LSM12	-3	5.91e-05
LSM2	-1.27	0.025
LSM8	-2.47	0.00384
LTF	-1.93	0.00861
LYPLA1	-1.36	0.0034
MAGOH	-1.04	0.039
MAN2C1	-3.21	0.0346
MAP2K1	-3.9	4.27e-05
MAPRE1	-1.16	0.00249
MARCKSL1	-2.67	0.00118
MAT1A	-7.98	0.000905
MBNL2	-5.54	2.18e-05
MCRIP1	-2.67	0.00729
MEMO1	-2.05	0.000269
METTL7A	-1.18	0.00279
METTL9	-1.79	0.00454
MIX23	-1.54	0.00282
MOB1B	-1.24	0.000807
MOB4	-2.35	0.000207
MOSPD1	-2.61	0.0021
MSN	-1.58	0.000551
Msrb3	-2.66	0.000192
MTA2	-1.96	0.00157
MTAP	-3.24	7.44e-05
MTHFD2	-2.38	0.000937
MTMR2	-1.65	0.0354
MTPN	-1.02	0.0316
MYG1	-1.32	0.0071
MYH10	-1.01	0.0101
MYH11	-7.58	0.000258
MYH9	-1.24	0.00181
MYL12B	-1.36	0.00201
MYL6	-1.94	0.00217
MYL6B	-2.06	0.00183
MYL9	-5.8	2.8e-05
MYO1C	-3.21	4.27e-05
MYO1D	-2.65	0.000908
MYO1E	-1.15	0.00191
NACA	-3.08	0.000211
NACA4P	-7.11	4.59e-05
NARS1	-1.46	0.000637
NCAM1	-3.73	0.0012
NEDD4	-5.5	1.83e-05
NEDD4L	-5.76	4.27e-05
NEK9	-1.81	0.00545
NENF	-1.06	0.00865
NEU1	-1.54	0.00364
NIBAN2	-1.49	0.000561
NIT1	-1.86	0.000193
NLRX1	-3.28	0.000291
NME1	-3.62	0.000333
NME2	-2.51	0.000465
NMT2	-1.72	0.000631
NOL3	-2.55	0.00255
NPEPL1	-1.75	0.00201
NQO1	-4.66	2.23e-05
NRAS	-5.58	2.26e-05
NUDC	-1.34	0.00367
NUDCD2	-3.25	0.000512
NUFIP2	-1.88	0.00372
NUMBL	-1.71	0.0161
OGA	-1.39	0.0017
OPA1	-1.15	0.011
ORMDL3	-3.51	0.000396
OSTF1	-2.51	0.000182
OTUB1	-1.57	0.000937
P2RX4	-4.26	0.000631
P4HA1	-2.48	9.14e-05
PA2G4	-1.55	0.00291
PABPC1	-1.43	0.000812
PABPC4	-1.88	0.000354
PACSIN3	-2.98	0.0063
PAFAH1B1	-1.15	0.00954
PAICS	-1.56	0.00156
PAK1	-6.08	7.92e-05
PALLD	-2.05	0.000215
PARVA	-2.7	8.84e-05
PBDC1	-3.64	6.91e-05
PCBP1	-2.01	0.000359
PCBP2	-1.32	0.00183
PCCB	-3.53	0.000382
PCK2	-4.37	5.38e-05
PCNA	-3.11	0.000826
PDAP1	-1.65	0.0012
PDCD10	-2.02	0.0032
PDCL3	-3.35	0.000193
PDGFRB	-7.07	1.15e-05
PDHA1	-1.62	0.000992
PDIA3	-1.35	0.00108
PDLIM1	-2.83	8.7e-05
PDLIM5	-2.15	0.000264
PDLIM7	-1.74	0.000582
PFDN2	-1.68	0.00693
PGD	-2.67	0.000215
PGRMC1	-1.32	0.0038
PGRMC2	-1.19	0.00209
PHGDH	-5.96	1.27e-05
PHLDA3	-3.24	0.00057
PHLDB1	-3.28	0.000264
PICALM	-1.57	0.000546
PIN4	-2.84	0.00141
PIP	-4.7	0.00247
PIR	-3.85	8.12e-05
PITHD1	-1.15	0.00505
PITPNA	-2.97	0.000116
PITPNB	-2.14	0.00593
PLG	-3.94	0.00456
PLOD2	-4.93	1.27e-05
PMM1	-2.61	0.000368
POGLUT1	-3.13	0.00103
POLR1C	-3.94	4.29e-05
POLR2E	-1.22	0.00231
POLR2G	-1.35	0.00145
PPIA	-1.11	0.0126
PPIL3	-1.77	0.00662
PPM1A	-4.31	0.000275
PPM1G	-1.51	0.031
PPME1	-1.09	0.00156
PPP1CA	-1.5	0.000517
PPP1CB	-1.57	0.000968
PPP1CC	-1.25	0.0079
PPP1R12A	-1.35	0.000741
PPP1R13L	-4.5	0.00144
PPP2CB	-1.48	0.0028
PPP2R1A	-1.03	0.00393
PPP2R1B	-2.17	0.0225
PPP2R2A	-2.48	0.000269
PPP4C	-4.3	0.000499
PRDX1	-1.86	0.000701
PRDX4	-2.92	0.000114
PREP	-4.55	0.00321
PRKAR1B	-2.46	0.00176
PRKCA	-1.27	0.00423
PRMT1	-1.58	0.00192
PRRX1	-1.53	0.00279
PSEN2	-3.49	0.000243
PSMA3	-1.2	0.00324
PSMA4	-1.1	0.00204
PSMA5	-1.41	0.00123
PSMA6	-1.62	0.000473
PSMB4	-1.12	0.00577
PSMB5	-1.61	0.00091
PSMB6	-1	0.0126
PSMC5	-1.39	0.000607
PSMC6	-1.64	0.000408
PSMD4	-1.41	0.000895
PSMD6	-1.17	0.00201
PSME3	-1.47	0.00148
PSPH	-5.35	1.83e-05
PTBP3	-3.4	0.000807
PTGES3	-3.03	5.91e-05
PTMA	-4.57	0.000112
PTPN9	-2.35	0.00154
PURA	-1.59	0.00321
PYCR1	-3.23	5.91e-05
QKI	-1.71	0.00963
RAB11B	-2.06	0.000215
RAB14	-1.97	0.00025
RAB1A	-1.32	0.00139
RAB22A	-3.17	0.00385
RAB27A	-3.4	5.91e-05
RAB2A	-1.9	0.000561
RAB2B	-4.2	0.000196
RAB30	-2.16	0.000529
RAB34	-3.45	0.000264
RAB35	-1.32	0.00474
RAB4B	-3.02	0.000214
RAC1	-2.24	0.000218
RACK1	-2.37	9.39e-05
RAD23B	-1.01	0.00283
RAN	-2.3	0.000201
RANBP1	-2.72	0.000114
RAP1A	-2.44	0.00194
RAP1B	-1.37	0.00178
RAP2C	-2.1	0.00294
RARS1	-1.34	0.000576
RBBP7	-2.03	0.000264
RBM14	-1.2	0.00734
RBMS1	-1.75	0.000243
RBX1	-1.47	0.00491
RCC2	-2.35	0.00297
RCN2	-1.98	0.000905
RGN	-1.01	0.0063
RHOA	-1.57	0.00119
RHOB	-1.79	0.000749
RHOC	-1.28	0.00298
RHOT1	-2.03	0.00028
RIOK3	-3.89	2.77e-05
RIPK2	-3.16	0.000133
RND3	-1.78	0.00056
RNF13	-1.57	0.00089
ROCK2	-3.81	0.000229
RPIA	-1.93	0.00252
RPL11	-1.93	0.000468
RPL15	-3.83	5.58e-05
RPL22	-1.13	0.0118
RPL23	-1.84	0.00176
RPL30	-1.8	0.00123
RPL38	-1.25	0.0146
RPL5	-1.05	0.00327
RPLP0	-1.39	0.000832
RPS14	-1.41	0.01
RPS15A	-1.27	0.0134
RPS16	-1.64	0.00201
RPS21	-1.5	0.0179
RPS27	-1.38	0.00282
RPS27A	-1.01	0.0272
RPS28	-2.71	0.00204
RPS29	-1.16	0.025
RPS3	-1.64	0.000303
RPS7	-2.9	0.000238
RPSA	-1.55	0.000739
RRAGC	-1.07	0.00621
RRAS2	-1.03	0.00473
RSU1	-1.96	0.000213
RTCA	-1.19	0.00254
RTCB	-1.61	0.000734
RUVBL1	-1.22	0.00141
RUVBL2	-2.27	0.000264
RWDD4	-2.45	0.000264
S100A11	-1.25	0.0294
S100A4	-2.61	0.00526
S100A6	-3.02	0.00115
SACM1L	-2.58	9.94e-05
SAMD9L	-2.92	0.00622
SARNP	-2.61	0.000252
SARS1	-1.19	0.00159
SCAMP3	-2.08	0.000507
SCPEP1	-2.85	0.00056
SDHB	-1.74	0.000992
SEC13	-1.83	0.000699
SEC23B	-5.67	1.15e-05
SEC61B	-2.01	0.00207
SEPTIN11	-2.91	5.91e-05
SEPTIN2	-1.85	0.000835
SEPTIN5	-2.77	0.00701
SEPTIN7	-2.93	4.86e-05
SEPTIN8	-2.86	0.000341
SERPINA7	-3	0.00114
SERPINB6	-1.24	0.00248
SERPINB9	-6.7	0.000168
SERPINC1	-1.69	0.00296
SERPINF1	-1.9	0.00421
SERPINH1	-1.39	0.00183
SET	-1.44	0.00127
SGTA	-1.59	0.00131
SH3BGRL	-1.28	0.0179
SH3BGRL2	-4.25	0.000299
SH3GL1	-1.9	0.00132
SH3GLB1	-5.12	1.27e-05
SH3GLB2	-1.34	0.0394
SHMT1	-2.2	0.00387
SHMT2	-1.24	0.000727
SIDT2	-1.97	0.00257
SIGMAR1	-2.37	0.000207
SIRT2	-2.82	0.00016
SLC12A4	-6.66	4.27e-05
SLC25A4	-4.16	6.4e-05
SLC25A5	-3.87	5.64e-05
SLC2A1	-1.06	0.00553
SLC35A4	-1.67	0.0415
SLC9A6	-3.05	0.000408
SMAD2	-3.12	0.000157
SMARCC2	-2.82	0.00153
SMURF1	-5.96	0.0267
SNF8	-3.25	0.000215
SNRPD3	-1.5	0.00884
SNRPF	-1.53	0.0148
SNX12	-1.65	0.00225
SNX2	-1.65	0.00143
SNX4	-1.72	0.00785
SNX5	-1.34	0.0135
SNX7	-3.15	0.000264
SPARC	-1.75	0.00187
SPCS3	-1.46	0.00155
SPRYD7	-1.53	0.000518
SRGAP2	-2.42	0.00137
SRSF1	-2.71	0.000108
SRSF2	-2.12	0.000506
SRSF5	-2.45	0.000235
SRSF6	-2.68	0.000529
SSR1	-1.99	0.000258
SSU72	-2.52	0.00274
ST13	-1.47	0.00336
STK10	-3.48	5.91e-05
STK26	-6.94	4.75e-06
STMN2	-5.96	0.00147
STOM	-1.13	0.0093
STRN3	-2.1	0.00327
STX6	-2.79	0.000681
SUCLA2	-1.21	0.00147
SUPT16H	-1.36	0.000687
SYNJ1	-2.39	0.0201
TAGLN	-2.87	9.35e-05
TAGLN2	-1.57	0.00175
TAGLN3	-12.5	4.75e-06
TALDO1	-2.05	0.000182
TARDBP	-1.8	0.00103
TARS1	-1.75	0.000289
TBC1D13	-1.79	0.0295
TCP1	-1.07	0.00175
TES	-2.96	0.000186
TFG	-2.33	0.000123
TGFB1I1	-5.19	2.18e-05
TIMM13	-1.47	0.0254
TIMM8A	-4.99	0.000178
TIMM8B	-3.54	0.000811
TLN1	-1.42	0.00057
TMED3	-1.8	0.000613
TMED9	-1.34	0.00514
TMPO	-2.34	0.000809
TMSB10	-2.39	0.0103
TMSB4X	-3.18	0.00125
TMX3	-1.99	0.00015
TMX4	-1.13	0.00829
TNS1	-2.18	0.000119
TOR1AIP2	-1.37	0.0103
TPD52	-3.9	2.26e-05
TPM1	-3.34	5.38e-05
TPM2	-5.65	2.07e-05
TPM3	-2.65	9.01e-05
TPP2	-2.21	0.000383
TRAP1	-1.58	0.0018
TRAPPC3	-1.77	0.00104
TRAPPC5	-1.11	0.0258
TRAPPC6B	-1.34	0.0211
TSN	-1.06	0.00812
TTR	-2.3	0.00316
TUBA1A	-1.27	0.0049
TUBA1C	-1.27	0.00282
TUBA4A	-1.1	0.00626
TUBB2A	-1.94	0.00033
TUBB4B	-4.5	2.77e-05
TUBB6	-1.02	0.00916
TWF1	-1.17	0.0144
TXNL1	-3.02	0.000164
UBA2	-1.17	0.00387
UBE2D3	-3.81	0.000193
UBE2G2	-1.19	0.0048
UBE2H	-1.86	0.000696
UBE2J1	-4.48	0.00154
UBE2K	-2.07	0.000296
UBE2M	-1.83	0.000582
UBE2N	-1.48	0.00759
UBE2V2	-3.14	0.000316
UBL4A	-1.31	0.00846
UBL5	-1.96	0.00157
UBQLN2	-1.52	0.0321
UBXN1	-1.95	0.00199
UCK2	-3.07	0.0022
UFM1	-1.95	0.00382
UGDH	-1.43	0.000499
UNC119B	-1.44	0.00368
USE1	-1.02	0.00456
USP14	-1.3	0.000734
USP9Y	-1.9	0.0259
VAMP8	-6.95	9.15e-05
VBP1	-3.18	6.4e-05
VCAM1	-12.3	9.39e-06
VCL	-2.55	6.91e-05
VCP	-1.07	0.00177
VIM	-1.08	0.00559
VNN1	-2.45	0.0015
VPS25	-2.05	0.000512
VPS26A	-1.97	0.0258
VPS26B	-3.95	9.59e-05
VPS28	-2.45	0.0139
VPS29	-1.06	0.0111
VPS35	-2.39	8.12e-05
VWA5A	-2.16	0.000699
YBX3	-3.29	6.34e-05
YME1L1	-2.21	0.00255
YRDC	-1.65	0.0099
YWHAB	-1.29	0.00195
YWHAE	-2.26	0.000345
YWHAG	-2.73	0.000144
YWHAH	-1.61	0.000552
YWHAZ	-2.19	0.000157
ZBTB8OS	-1.66	0.0169
CCT7	-1	0.002
