ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
DPM1	5.14	0.00215
DPP3	1.3	0.0251
DPP9	5.59	0.00103
DSP	1.78	0.00626
DST	4.5	0.0225
DTD1	1.92	0.00165
DYNC1LI2	4.68	0.00595
DYNC2H1	2.14	0.01
ECE1	3.88	0.00351
ECHDC1	1.71	0.0184
ECHS1	2.95	0.000442
ECI2	2.24	0.000981
EEA1	1.47	0.0216
EEF1A2	4.24	0.0158
EEF1D	2.14	0.00319
EEF1E1	4.95	0.00569
EFL1	3.64	0.00563
EHD1	2.59	0.00045
EIF1	2.05	0.00623
EIF2B1	4.44	0.0104
EIF2B5	4.85	4.94e-05
EIF2S2	1.36	0.0112
EIF3E	5.62	0.000855
EIF3L	2.16	0.0149
EIF4A3	2.81	0.0108
EIF4G2	4.8	0.00106
EIF4G3	3.74	9.83e-05
EIF5	5.04	0.00868
EIF5B	4.2	0.000462
EIF6	1.81	0.00156
ELMO2	3.08	0.000235
EMC1	3.26	0.0264
EMC3	3.42	0.0112
EMC4	1.72	0.0178
EMC7	3.1	0.00103
EMD	5.34	4.81e-05
EML2	2.26	0.00959
ENAH	5.27	0.000293
EPB41L2	2.98	0.035
EPHA2	2.06	0.00265
EPS15	3.35	0.00171
ERC1	3.98	0.00036
ERGIC1	6.28	0.000382
ERLEC1	2.13	0.00119
ERO1A	2.93	0.0157
ERP29	2.9	0.000859
ERP44	5.27	0.0175
ESD	2.89	0.000711
ESYT1	3.15	0.000163
ETHE1	5.55	0.000217
EWSR1	5.19	0.000204
EXOC2	3.05	0.0415
EXOC5	1.6	0.0108
EXOC6B	3.17	0.000672
EXOC7	3.19	0.00378
EZR	7.94	3.77e-05
FABP3	1.51	0.0248
FABP4	2.75	0.0192
FABP5	2.14	0.0143
FAF2	2.8	0.04
FAH	2.95	0.000172
FAM114A1	4.71	7.96e-05
FAM177A1	3.76	0.037
FAM3C	2.83	0.000785
FAP	12	8.3e-05
FARSA	4.43	0.0313
FARSB	7.06	0.0129
FASN	3.4	0.000298
FBL	2.86	0.0225
FBLIM1	1.32	0.0102
FH	7.07	0.000119
FHOD1	2.76	0.017
FKBP10	9.19	3.77e-05
FKBP2	1.27	0.00474
FKBP4	2.59	0.00336
FKBP7	3.75	0.00103
FKBP9	5.92	0.000254
FLOT2	4.56	0.000152
FOCAD	2.45	0.0202
FSCN1	2.1	0.00265
FTL	4.99	0.000981
FUBP1	2.95	0.00569
FXR1	11.7	0.000155
FYCO1	4.82	0.00124
G3BP2	3.8	0.00121
GAA	4.1	0.000344
GABARAP	3.37	0.00441
GABARAPL2	2.36	0.00395
GAK	4.34	0.000136
GALNT2	4.17	0.000164
GANAB	5.64	0.000369
GAPDH	1.81	0.00113
GART	1.7	0.00455
GATD3B	4.16	0.000132
GBA	6.15	0.025
GBE1	7.41	4.84e-05
GBF1	6.03	0.00147
GCN1	2.96	0.018
GET3	1.44	0.00498
GFM1	3.93	0.0123
GFPT1	3.87	0.0135
GFPT2	4.43	0.00129
GGCT	4.35	0.000313
GIT2	4.78	0.0024
GLB1	6.36	7.37e-05
GLO1	1.83	0.00174
GNA11	6.64	0.000277
GNAI3	4.04	0.0186
GNAS	3.55	0.0047
GNB4	2.29	0.00655
GNG12	4.69	0.0476
GNL1	4.57	0.0055
GNPDA1	2.04	0.00319
GNPDA2	3.67	0.000899
GNS	5.24	0.00454
GOLGA2	1.35	0.00447
GOLGB1	4.77	0.00168
GOLIM4	11.8	0.000165
GOLT1B	2.31	0.000646
GOPC	3.28	0.0102
GORASP2	6.16	2.31e-05
GOSR1	4.21	0.000146
GOSR2	7.27	6.86e-05
GPI	2.99	0.00358
GPS1	5.23	0.000226
GRN	2.8	0.00819
GRPEL1	1.38	0.00678
GSK3A	2.33	0.0392
GSTM1	4.05	0.000235
GSTO1	6	4.81e-05
GSTP1	3.41	0.000178
GUK1	3.72	0.00112
GYS1	4.35	0.000213
H2AZ2	1.29	0.0428
H3-3A	3.1	0.0111
HADH	3.53	0.000214
HADHA	8.02	8.06e-05
HAGH	2.47	0.0016
HARS1	2.17	0.00985
HBE1	8.07	0.000251
HDGFL3	3.7	0.00776
HDHD2	3.44	0.000254
HEATR5A	4.78	0.000796
HEATR5B	3.14	0.0399
HECTD3	5.81	0.00143
HERC4	2.99	0.0048
HEXA	1.45	0.00461
HIBCH	4.55	0.00121
HINT1	2.93	0.0122
HM13	3.56	0.00104
HMGCS1	6.97	0.000192
HMOX1	10	3.25e-05
HNRNPA0	3.43	0.00109
HNRNPC	4.57	4.84e-05
HNRNPR	3.22	0.00945
HNRNPUL1	5.21	0.00128
HNRNPUL2	4.61	0.0125
HRAS	4.24	0.000254
HS2ST1	1.65	0.0374
HSD17B4	2.96	0.00139
HSPA1L	2.96	0.000837
HSPA2	4.31	0.00739
HSPB1	1.45	0.00329
HSPB6	7.56	2.78e-05
HSPH1	3.27	0.00958
HTT	3.96	8.06e-05
HYI	3.83	0.00513
HYOU1	3.48	0.000162
IARS1	1.99	0.00469
IARS2	5.23	0.000136
IDH2	2.82	0.00597
IDH3G	3.56	0.00362
IDI1	2.77	0.000232
IGF2BP3	13.1	0.00024
ILF2	3.42	0.0394
ILF3	4.96	0.0016
IMMT	2.24	0.00153
IMPA1	6.84	0.000692
IMPDH1	3.85	0.000711
INA	4.82	0.0136
INF2	4.94	0.00494
IPO11	6.44	0.000444
IPO4	4.04	0.000398
ISCU	1.21	0.0211
ITGA5	1.6	0.00165
ITGAV	3.35	0.000384
ITGB1	1.21	0.00802
ITM2B	5.04	0.00447
ITM2C	3.74	0.00573
IVD	3.99	7.96e-05
JAGN1	1.62	0.0152
KARS1	8.1	2.03e-05
KCMF1	4.67	5.23e-05
KCTD12	5.61	0.000155
KCTD5	3.76	0.00913
KIDINS220	2.95	0.00119
KIF13A	4.43	0.000497
KIF1B	7.34	0.00043
KIF2A	3.49	0.00212
KPNA1	5.7	0.000981
KPNA2	4.34	6.07e-05
KPNA4	2.83	0.0017
KPNA6	5.69	0.00112
KRAS	2.37	0.000394
LAMP1	8.21	0.000733
LAMTOR1	1.29	0.0292
LAMTOR3	4.46	0.00366
LANCL1	1.06	0.0102
LARP1	3.03	0.000754
LDHA	1.5	0.00249
LETM1	2.81	0.0229
LIN7C	2.48	0.00201
LMAN1	7.03	5.7e-05
LMAN2	4.19	0.0107
LMO7	3.99	0.0179
LNPEP	5.24	0.000109
LOX	2.58	0.00366
LRBA	3.96	0.000204
LRPPRC	7.85	2.15e-05
LRRC59	1.9	0.0134
LRRFIP1	2.62	0.0198
LRRFIP2	3.1	0.000321
LYPLA2	1.54	0.0156
MACF1	2.7	0.000222
MAGED2	8.18	0.000151
MAGT1	4.08	0.000561
MAN2A1	4.32	0.0117
MAP1A	4.97	0.00144
MAP1B	5.36	0.000156
MAP2K2	2.86	0.000579
MAP4	5.53	0.0101
MAP4K4	4.35	0.012
MAPK3	1.08	0.0118
MAPK9	2.15	0.015
MAPRE3	5.53	0.000182
MARS1	4.49	0.0015
MATR3	3.78	9.44e-05
MCTS1	1.62	0.00967
ME1	2.52	0.0249
ME2	3.68	0.00186
METAP2	4.79	0.000763
METTL9	2.6	0.000539
MGST1	4.34	8.63e-05
MIF	2.51	0.00329
MMP14	3.37	0.0015
MMS19	4.66	8.06e-05
MON2	3.19	0.0133
MOSPD1	1.74	0.0305
MROH1	3.78	0.000981
MRPL14	1.05	0.0124
MRPL15	3.29	0.00721
MRPL2	2.75	0.0231
MTA2	7.18	0.000735
MTFR1L	2.34	0.0014
MTHFD1	3.41	0.00471
MTHFD1L	1.09	0.0316
MTHFD2	2.33	0.0109
MTX2	2.1	0.00333
MVP	2.94	0.00469
MXRA8	3.01	0.000818
MYADM	6.47	4.03e-05
MYDGF	1.95	0.003
MYH14	4.55	0.00123
MYLK	4.76	0.000893
MYO18A	4.16	0.00468
MYO1B	9.73	2.03e-05
MYO5A	1.89	0.00221
MYO6	5.04	0.00645
MYO9B	9.82	2.15e-05
MYOF	1.46	0.00254
NAE1	11.8	5.61e-05
NAGK	1.15	0.0221
NAGLU	6.27	0.000228
NAMPT	6.15	0.00402
NANP	4.33	0.0211
NAP1L4	4.7	0.000379
NAPA	1.82	0.0183
NAXE	4.25	0.000117
NBAS	3.74	0.0024
NBEA	5.11	0.0122
NCDN	5.42	0.000492
NCEH1	5.48	0.000158
NCL	3.79	0.00127
NCLN	1.62	0.0189
NDRG1	6.17	0.00483
NDUFA8	2.82	0.000283
NDUFS1	3.47	0.00871
NDUFS3	2.84	0.0115
NDUFV2	3.59	0.000163
NEK7	1.78	0.00899
NEU1	2.86	0.0487
NFU1	3.73	0.00141
NIPSNAP1	3.3	0.000369
NIT2	1.08	0.0293
NLN	5.56	6.07e-05
NNMT	4.08	6.74e-05
NOMO2	3.09	0.000507
NPC1	6.5	0.00024
NPC2	2.46	0.000744
NPEPPS	1.44	0.00575
NPLOC4	1.85	0.0275
NPM1	2.19	0.000602
NPTN	5.3	0.000261
NRBP1	3.59	0.000807
NRDC	2.67	0.000761
NSF	2.17	0.00107
NSUN2	4.89	0.00102
NT5C2	7.98	0.000151
NT5E	7.49	0.000954
NUCB2	3.51	0.00227
NUDT2	1.39	0.00433
NUDT9	1.41	0.0293
NUMBL	1.89	0.0168
NUP205	3.54	0.000861
NUP93	5.69	0.000298
NUTF2	3.42	0.0108
NXN	5.54	0.000442
OAT	2.05	0.000775
OCIAD1	3.21	0.000217
OSBPL8	4.11	0.00032
OXCT1	1.87	0.0014
OXSR1	2.64	0.000255
P3H1	4.41	0.0026
P4HA2	3.1	0.00449
P4HB	1.62	0.00178
PAFAH1B1	1.91	0.00106
PAK2	3.26	0.00958
PAM	4.27	0.00337
PARK7	1.7	0.00265
PCBD1	1.67	0.0191
PCMT1	5.23	4.84e-05
PCYOX1	6.17	7.86e-05
PDCD6IP	1.36	0.0247
PDE12	3.62	0.00138
PDIA4	9.09	2.03e-05
PDIA6	3.79	0.0012
PDLIM2	1.75	0.0296
PDLIM3	1.97	0.00715
PDP1	3.82	0.000211
PDPR	1.99	0.0385
PDXDC1	4.13	0.000209
PEAK1	2.05	0.000591
PEBP1	2.79	0.000419
PEF1	2.02	0.00542
PELO	1.8	0.00545
PEPD	4.11	5.84e-05
PEX11B	2.85	0.00719
PFAS	1.1	0.04
PFKM	5.55	0.0016
PFKP	4.66	6.62e-05
PGLS	3.04	0.00121
PGM1	1.85	0.00217
PGM2	1.95	0.0103
PGPEP1	1.46	0.0163
PGRMC1	1.68	0.00375
PGRMC2	1.2	0.00525
PHB1	2.51	0.0271
PI4K2A	4.51	0.000775
PIP4K2B	2.59	0.00616
PIP4P1	2.35	0.0381
PIP4P2	4.1	0.00738
PITRM1	6.23	0.00699
PKD2	3.07	0.000163
PKN2	3.38	0.0211
PLAA	2.43	0.00234
PLCB3	3.22	0.0065
PLCD1	3.94	0.0361
PLIN3	6.48	3.77e-05
PLOD1	1.8	0.00124
PLPP3	4.44	0.0149
PMPCA	7.98	0.000313
PMPCB	6.16	0.00149
PNP	1.29	0.0271
POFUT1	1.51	0.00961
POFUT2	2.92	0.00149
POLR2B	5.24	0.000701
POLR2I	5.07	8.47e-05
PPA1	3.66	8.3e-05
PPFIA1	3.48	0.000604
PPIB	1.51	0.00319
PPM1B	3.21	0.000744
PPM1F	4.36	0.00565
PPP1R12C	4.56	4.84e-05
PPP1R9B	3.8	0.00267
PPP2R5D	4.87	0.000138
PPP2R5E	4.05	0.00616
PPP3CA	5.86	0.0256
PPP3CC	8.76	0.00395
PPP3R1	6.04	0.000132
PPP4R1	1.93	0.0057
PPP6C	1.26	0.0364
PPP6R3	1.16	0.0157
PRDX2	1.62	0.00158
PRDX3	1.72	0.00176
PRDX6	1.32	0.00398
PRKAA1	5.76	6.62e-05
PRKACA	1.96	0.00155
PRKAR2A	6.91	2.04e-05
PRKCD	2.4	0.0115
PRKCSH	8.25	2.69e-05
PRKG1	6.39	0.00228
PRMT5	3.8	0.032
PRPF19	1.04	0.031
PRPS1	4.42	0.000138
PRPSAP2	3.96	0.000178
PRRC1	4.11	0.00461
PRRX1	1.31	0.0445
PRUNE2	3.92	0.00101
PSAP	2.15	0.00947
PSMC3	1.54	0.00909
PSMC4	2.39	0.000646
PSMD10	3.3	0.000452
PSMD12	1.48	0.00587
PSMD3	1.12	0.0266
PSMD5	4.53	0.0101
PSMD8	1.97	0.00139
PSME1	1.55	0.015
PSME2	6.32	0.00036
PTBP1	1.99	0.00221
PTGIS	3.8	0.00804
PTGR2	1.56	0.0162
PTPMT1	1.43	0.0263
PTPN11	2.45	0.047
PTPN12	2.08	0.00186
PTPN9	2.96	0.00276
PTRH2	3.49	0.000559
PURB	1.78	0.0172
PXDN	7.26	0.000292
PXN	5.54	0.000318
PYCR2	3.55	0.0111
PYGB	2.6	0.00233
PYM1	4.86	8.3e-05
QARS1	3.44	9.83e-05
RAB11FIP5	3.29	0.00309
RAB18	2.52	0.00105
RAB1B	1.57	0.00261
RAB32	3.45	0.000879
RAB34	3.24	0.0034
RAB34	2.75	0.0035
RAB3GAP1	5.81	8.3e-05
RAB43	3.51	0.00109
RAB4A	1.29	0.0332
RAB6A	1.82	0.00183
RAB8A	1.44	0.0048
RAB8B	3.81	0.00117
RAB9A	4.47	0.00145
RABEP2	4.9	0.000719
RABGEF1	4.05	0.00454
RABGGTA	1.73	0.0467
RALA	4.53	0.000317
RALB	4.12	0.00062
RANBP2	3.75	0.000147
RANGAP1	4.86	0.0288
RAP1GDS1	2.14	0.0118
RBBP4	5.07	0.000132
RBM25	4.32	0.000123
RBMX	2.64	0.0337
RBPMS	1.59	0.0268
RCN1	1.07	0.0257
RELA	5.43	6.07e-05
RELCH	4	0.00932
REXO2	1.3	0.00472
RHOB	1.02	0.0264
RHOG	5.39	0.000225
RIC8A	5.64	0.000577
RNF149	4.2	0.0186
RNH1	3.83	0.000378
RNPEP	1.45	0.00422
RO60	6.58	0.00292
RPIA	1.72	0.0395
RPL10	2.64	0.00106
RPL13	3.25	0.000167
RPL13A	2.3	0.000602
RPL14	3	0.000408
RPL18	1.3	0.0117
RPL21	2.33	0.000522
RPL23A	1.15	0.0177
RPL24	1.55	0.00172
RPL27A	3.36	0.000324
RPL32	2.88	0.0192
RPL35	3.03	0.00359
RPL4	3.62	0.00287
RPL6	2.3	0.00585
RPL7	1.49	0.00208
RPL7A	1.34	0.0223
RPLP1	1.4	0.0439
RPN1	1.34	0.00802
RPN2	2.94	0.00024
RPS15	2.53	0.0026
RPS25	1.08	0.0454
RPS27L	3.7	0.00821
RPS4X	1.04	0.0285
RPS9	1.64	0.00162
RPTOR	2.94	0.0014
RRAS	4.54	0.00865
RRBP1	3.4	0.000352
RTN3	1.91	0.0145
RTN4	3.05	0.00105
RUFY1	4.36	0.0044
RUVBL2	1.35	0.00489
SAMD4A	3.44	0.00194
SAMD4B	4.07	0.00336
SAMM50	5.26	0.000848
SARNP	3.56	0.00307
SBF1	2.46	0.0228
SCAMP1	2.01	0.00237
SCAMP3	2.71	0.00616
SCCPDH	3.71	0.00871
SCFD1	1.49	0.0178
SCFD2	2.6	0.00913
SCP2	3.93	0.000771
SCRN1	5.23	0.00024
SCYL1	1.88	0.0408
SDCBP	4.27	0.000154
SDF2	3.2	0.00153
SDF2L1	3.89	0.000235
SDHA	4.86	0.000165
SEC11A	3.24	0.000184
SEC16A	4.73	0.000429
SEC22B	1.44	0.0155
SEC24C	2.06	0.00542
SEC61A1	3.23	0.0387
SEC61B	2.41	0.00559
SEC62	3.81	0.000217
SEC63	4.21	0.000313
SEL1L	2.41	0.0403
SEPTIN8	2.28	0.012
SERBP1	5.54	0.00932
SERPINE2	7.46	0.000235
SETD7	5.18	0.00469
SF1	2.1	0.0183
SF3A3	5.59	0.000334
SF3B2	4.67	0.0111
SFXN1	3.35	0.00531
SFXN3	4.45	7e-04
SH3BGRL3	1.24	0.0372
SHMT2	2.87	0.000822
SHOC2	1.51	0.0363
SIL1	4.15	0.000324
SKIV2L	6.47	0.00033
SLC12A2	2.38	0.0142
SLC25A1	2.93	0.000455
SLC25A11	3.67	0.000512
SLC25A12	2.26	0.00372
SLC25A20	5.66	0.000517
SLC25A22	2.22	0.022
SLC25A24	2.48	0.00673
SLC25A6	9.42	0.000131
SLC27A4	3.99	0.000136
SLC2A1	3.7	0.00341
SLC3A2	9.17	2.03e-05
SLC4A2	4.2	9.44e-05
SMAP	1.39	0.0227
SMG1	4.79	0.000516
SMTN	3.05	0.000309
SMURF2	2.89	0.00107
SNAP23	2.68	0.00639
SNAPIN	2.59	0.00963
SND1	1.16	0.0132
SNRPA	3.61	0.000108
SNRPA1	2.76	0.0102
SNRPB	1.21	0.0312
SNRPD1	5.13	0.00123
SNRPG	4.19	0.000744
SNX1	6.1	0.000317
SNX18	5.22	0.00207
SNX3	2.01	0.00227
SNX6	2.73	0.0111
SNX7	1.85	0.00623
SOD1	2.33	0.00501
SOD2	2.41	0.000859
SPATA5	3.5	0.000369
SPG21	3.25	0.0028
SPRYD4	3.78	0.000123
SQSTM1	10.4	6.62e-05
SRC	4.04	0.00299
SRP14	2.9	0.000462
SRP19	2.33	0.000845
SRP72	3.93	0.00509
SRPRB	4.28	6.16e-05
SRSF3	1.34	0.0211
SRSF9	1.82	0.00554
SSBP1	5.99	0.000228
STAT1	11.2	2.91e-05
STAT5B	4.18	0.000226
STAU1	3.76	0.00235
STIM1	2.59	0.0135
STK24	4.79	7.96e-05
STK39	3.74	0.000195
STRIP1	4.07	0.0122
STRN4	2.04	0.0183
STT3A	3.13	0.00448
STT3B	3.2	0.00176
STX18	4.12	0.00193
STX3	2.49	0.00311
STX8	3.02	0.000895
STXBP1	4.92	0.000357
SUCLA2	2.16	0.0321
SUCLG1	2.63	0.00138
SUCLG2	1.42	0.00471
SUPT5H	3.46	0.000445
SUPT6H	3.77	0.00623
SURF4	1.06	0.0151
SWAP70	7.03	0.000795
SYNCRIP	3.53	0.000293
SYNE1	3.33	0.000758
SYNJ2BP	4.26	0.00138
TAOK1	2.97	0.0291
TATDN1	5.35	0.000105
TBCD	3.05	0.0174
TFG	4.74	0.00697
TGM2	2.77	0.00185
THOP1	2.67	0.00297
TIMM44	3.12	0.00201
TIMP3	2.36	0.0021
TIPRL	5.98	6.62e-05
TJP1	4.47	0.0197
TJP2	3.53	0.00136
TM9SF3	3.95	0.0268
TMBIM6	3.19	0.0287
TMCO1	2.95	0.000497
TMED10	2.44	0.000448
TMED3	3.02	0.000352
TMED9	2.29	0.00227
TMEM106B	3.53	0.00671
TMEM11	2.63	0.000861
TMEM33	3.64	0.000819
TMEM43	2.08	0.0219
TMEM65	2.23	0.00078
TMOD3	3.63	0.0136
TMX3	1.36	0.00362
TMX4	2.96	0.0138
TNFAIP8	3.19	0.00614
TNPO2	2.74	0.0203
TNPO3	4.6	0.00362
TOM1	2.66	0.000779
TOMM22	4.24	0.000226
TOMM40	2.6	0.00307
TOP2B	2.36	0.000896
TOR1A	3.55	0.00492
TPD52L2	3.02	0.000289
TRIO	3.69	0.00163
TRIOBP	4.17	0.00619
TRIP10	3.53	0.000165
TRIP11	2.57	0.000761
TRIP12	3.97	0.00423
TRNT1	1.46	0.00535
TSG101	3.83	0.000155
TSNAX	7.93	8.3e-05
TTL	3.15	0.00619
TTLL12	4.91	0.00011
TUBB	2.28	0.0023
TUBB3	1.38	0.00623
TUFM	1.87	0.00209
TXN2	3.24	0.0024
TXNDC5	2.33	0.00715
TXNRD1	2.85	0.000602
U2AF1	10.8	6.74e-05
U2AF2	2.85	0.0102
U2SURP	4.29	0.000109
UAP1	3.78	0.000255
UBA1	1.85	0.00591
UBA3	1.67	0.00565
UBE2D2	1.77	0.00697
UBE2Z	1.41	0.0185
UBE3A	5.51	0.00676
UBE3C	3.82	0.0303
UBE4A	6.6	4.81e-05
UBLCP1	6.62	0.000335
UBQLN1	4.2	0.00648
UBR4	3.26	0.000178
UCHL1	1.51	0.00305
UCHL3	1.45	0.00438
UFL1	3.36	0.0118
UGGT1	2.65	0.00039
UGGT2	6.77	3.97e-05
UGP2	1.63	0.0224
UNC119B	1.19	0.0396
UNC45A	4.96	0.0111
UQCRC1	3.14	0.0249
USP15	1.6	0.00252
USP47	4.53	0.0135
USP7	4.23	9.55e-05
UTRN	4.67	0.000728
VAMP7	1.41	0.0047
VAPA	3.61	0.00125
VAPB	2.69	0.000293
VPS18	5.76	0.000493
VPS45	3.23	0.0234
VPS4B	1.14	0.0417
VPS51	2.44	0.0209
VPS53	4.52	0.00251
VTI1B	3.45	0.013
VWA8	7.36	0.000522
WASF1	3.16	0.00664
WASHC3	2.21	0.0109
WASHC5	2.17	0.000497
WBP2	1.39	0.00865
WDR26	3.5	0.00532
WDR61	5.66	0.000112
WDR82	3.1	0.0288
WFS1	2.82	0.000317
XPO1	1.5	0.0392
XPO7	3.76	0.0372
XPOT	5.35	0.000128
XYLB	3.95	0.00147
YAP1	2.95	0.0036
YARS1	2.85	0.00981
YBX1	3.5	0.00039
YBX3	2.18	0.00411
YES1	2.08	0.00739
YTHDF2	2.63	0.0223
YWHAQ	2	0.00362
ZNRD2	1.42	0.0273
ZW10	3.82	0.000928
