ID	X20_vs_X5_ratio	X20_vs_X5_p.adj
ATP6V1H	2.78	0.000927
ATPAF2	3.56	0.0495
ATXN10	5.27	0.000184
B3GAT3	3.95	0.000244
BAIAP2	2.88	0.0246
BASP1	3.16	0.00849
BCAP31	5.27	0.000908
BCKDHA	4.63	0.00504
BCKDHB	1.32	0.0467
BDH1	2.23	0.0316
BGN	1.65	0.00521
BIRC6	1.84	0.019
BLMH	3.7	0.00379
BLOC1S4	1.44	0.021
BTF3	2.25	0.00651
BUB3	3.42	0.0481
CALD1	3	0.000992
CAMK2D	1.49	0.00737
CAMK2G	1.02	0.02
CAV1	4.38	0.000289
CAVIN2	4.55	0.0382
CAVIN3	2	0.00495
CCDC47	4.1	0.000943
CDC37	3.11	0.00436
CDC42BPA	2.14	0.00271
CDIPT	4.86	0.00943
CDKN2A	1.54	0.0161
CEP170	1.5	0.0153
CERT1	2.67	0.000993
CHCHD3	6.09	0.00273
CHID1	4.87	0.00148
CHP1	4	0.000349
CHTOP	1.88	0.0209
CIAO2B	2.74	0.00873
CIRBP	3.12	0.00873
CKAP4	1.67	0.00273
CLCN7	2.99	0.00678
CLPTM1	5.34	0.000355
CLPTM1L	3.26	0.00811
CNOT1	2.89	0.000289
CNOT9	3.42	0.00554
CNPY4	1.96	0.00204
COG3	4.46	0.000198
COG5	1.85	0.00833
COMT	1.99	0.00354
COPS7B	2.05	0.00637
COPZ1	1.25	0.0206
CORO1C	1.57	0.00354
COX5A	6.08	0.000433
CPNE1	3.18	0.00137
CPT2	4.12	0.0024
CRIP2	2.85	0.0189
CRTAP	4.1	0.000244
CSK	4.01	0.00288
CSRP2	2.36	0.000943
CSTF2	3.33	0.0107
CTPS2	1.27	0.0289
CTTN	7.58	0.00195
CUL1	3.75	0.00303
CUL3	3.17	0.000355
CUL4A	2.64	0.00688
CYB5A	3.9	0.00764
CYB5R1	7.39	8.12e-05
CYB5R3	5.71	0.000292
CYC1	6.16	0.00035
CYP1B1	7.43	9.24e-05
CYP20A1	5.48	0.000229
CYP51A1	5.28	9.24e-05
DAD1	6.43	0.000882
DAP3	3.7	0.000889
DAZAP1	3.08	0.0431
DBT	2.31	0.021
DCTN2	6.47	8.12e-05
DCTN4	3.8	0.00106
DDOST	7.04	0.000151
DDX3X	3.94	0.0132
DDX5	1.64	0.00842
DERL1	2.73	0.0241
DHX30	1.71	0.0137
DHX36	1.66	0.0104
DHX9	2.95	0.00757
DLAT	6.16	7.78e-05
DLD	6.87	0.004
DLG1	1.86	0.00887
DNAJB11	2.12	0.00172
DNAJC10	3.93	0.00117
DNAJC19	1.52	0.0333
DNAJC25	4.08	0.0256
DNAJC3	3.79	0.00837
DNAJC5	2.16	0.0351
DOCK7	4.1	0.00173
DPM1	4.45	0.00504
DPYSL2	1.3	0.0225
DRG1	2.78	0.0034
DYNC1LI2	5.78	0.00354
DYNC2H1	3.34	0.0024
DYNLT1	1.39	0.00498
DYSF	2.41	0.000517
EDF1	2.25	0.0404
EEF1A2	3.55	0.0346
EFR3A	4.04	0.00795
EIF1	2.14	0.00689
EIF2B5	3.2	0.000314
EIF2S2	2.49	0.0015
EIF3E	6.68	0.000664
EIF3F	1.5	0.00451
EIF3L	2.54	0.01
EIF4A3	5.64	0.000993
EIF4G2	5.48	0.000925
EIF4G3	4.92	0.000124
EMC1	3.54	0.0233
EMC3	4.42	0.00549
EMC4	3.42	0.00173
EMC6	3.99	0.000626
EMC7	4.58	0.000368
EMC8	4.53	0.0298
EMD	6.83	7.78e-05
EML1	1.38	0.0333
EML2	1.75	0.0285
ENAH	3.48	0.00208
EPB41L2	3.3	0.0286
EPHA2	2.41	0.002
ERAP1	2.7	0.00127
ERC1	3.4	0.000947
ERGIC1	7.37	0.000355
ERH	1.88	0.0467
ERLEC1	3.87	0.000265
ERLIN2	1.11	0.0163
ERO1A	3.09	0.0159
ERP29	2.36	0.00271
ERP44	4.54	0.0344
ESYT1	2.89	0.000355
ETF1	1.74	0.044
ETFB	1.25	0.0241
EWSR1	2.9	0.00267
EXOC6B	3.66	0.000589
EXOC7	2.47	0.0126
EZR	3.7	0.000582
FAF2	6.92	0.00183
FAM114A1	2.16	0.00183
FAM120A	1.18	0.0402
FAM3C	1.19	0.0268
FAM98B	3.03	0.000557
FAP	2.51	0.0339
FARP1	1.19	0.0302
FAT1	2.73	0.00882
FBL	6.45	0.00135
FH	3.7	0.00179
FHOD1	2.69	0.0223
FIS1	1.79	0.0094
FKBP10	6.7	0.000171
FKBP2	1.48	0.00354
FKBP7	3.52	0.00186
FKBP9	2.22	0.0147
FLNA	1	0.0492
FLOT2	5.6	0.000169
FUBP1	4.91	0.00107
FUS	5.24	0.0216
FXN	2.37	0.0107
FXR1	3.99	0.0119
FYCO1	2.18	0.0309
G3BP2	4.69	0.000787
GAA	1.77	0.0118
GABARAP	2.23	0.0247
GAK	1.7	0.00634
GALNT2	3.99	0.000334
GANAB	3.81	0.0024
GATD3B	2.16	0.00209
GBE1	1.36	0.0259
GFM1	3.25	0.0288
GFPT2	2.91	0.00873
GID8	1.77	0.0465
GLB1	2.98	0.00155
GLG1	2.8	0.00108
GLIPR2	1.85	0.00833
GLUD1	2.83	0.00119
GNA11	3.24	0.00613
GNAI3	3.49	0.0357
GNAQ	2.43	0.0019
GNAS	4.96	0.00174
GNB4	4.23	0.000866
GNS	2.82	0.0498
GOLGA2	3.13	0.000311
GOLGA5	3.68	0.0187
GOLGA7	3.08	0.00671
GOLGB1	3.87	0.00522
GOLIM4	4.19	0.0114
GOLPH3	3.32	0.011
GOLT1B	5.74	8.97e-05
GOPC	4.39	0.00439
GORASP2	6.81	7.78e-05
GOSR1	2.14	0.00254
GOSR2	4.49	0.000548
GOT2	1.17	0.00794
GPS1	4.3	0.000712
GREM1	3.5	0.0212
GRPEL1	3.67	0.000289
GSK3A	2.4	0.0406
GYS1	1.08	0.0486
H1-0	2.87	0.0102
H1-2	2.71	0.0381
H2AC20	3.3	0.000649
H2AZ2	4.31	0.000664
H2BC18	3.37	0.000925
H3C1	4.46	0.00173
H4C1	3.86	0.000355
HADHA	7.25	0.000244
HDGFL3	4.35	0.00545
HIBADH	1.9	0.047
HIBCH	3.24	0.00627
HMGCS1	3.03	0.00648
HMOX1	5.38	0.000312
HNRNPA0	4.35	0.000664
HNRNPA1	1.81	0.0159
HNRNPA2B1	1.4	0.0352
HNRNPA3	2.64	0.0021
HNRNPC	2.45	0.000566
HNRNPH1	1.41	0.0165
HNRNPL	3.41	0.000355
HNRNPLL	4.42	0.0215
HNRNPR	3.83	0.00636
HNRNPUL1	3.23	0.0107
HNRNPUL2	5.01	0.0115
HPCAL1	1.13	0.0294
HRAS	3.22	0.00106
HS2ST1	5.08	0.000739
HSD17B8	1.87	0.00284
HSP90B1	2.01	0.000943
HSPA1L	6.07	0.000162
HSPA5	1.14	0.0199
HSPA9	2.77	0.000644
HSPD1	1.84	0.00271
HYOU1	2.4	0.000919
IARS2	1.44	0.0215
IDH2	3.4	0.0039
IDH3A	1.59	0.00688
IDH3B	6.07	0.013
IDH3G	5.45	0.000947
IGF2BP2	3.28	0.000345
ILF2	4.2	0.0229
ILF3	4.17	0.00437
ILK	2.67	0.0107
IMMT	4.23	0.000289
IMPDH1	3.13	0.00221
INF2	3.44	0.023
ISCU	3.57	0.000501
IST1	1.32	0.0118
ITGA1	2.27	0.000811
ITGA5	2.03	0.000943
ITGAV	2.4	0.00203
ITGB1	1.71	0.00283
ITM2B	4.14	0.0119
IVD	1.1	0.0118
JAGN1	2.18	0.00646
KARS1	6.57	7.78e-05
KCMF1	4.17	0.000162
KIDINS220	1.92	0.00852
KIF1B	3	0.0175
KIF2A	3.09	0.00464
KLHL22	4	0.00919
KPNA1	2.84	0.0183
KPNA2	1.38	0.00497
KPNA4	1.83	0.0119
KPNA6	2.75	0.0231
KRT13	2.13	0.0372
KRT77	5.18	0.00032
LAMTOR1	3.74	0.00071
LAMTOR3	4.8	0.00373
LARP1	1.51	0.0142
LETM1	4.73	0.00416
LIN7C	2.46	0.00283
LMAN1	3.96	0.000575
LMAN2	4.35	0.0117
LMCD1	1.77	0.0381
LMNA	2.92	0.00127
LOX	3.03	0.00266
LRPPRC	3.41	0.000376
LRRC59	4.77	0.000575
LRRFIP2	2.47	0.00111
LSM12	1.35	0.0121
MACF1	1.66	0.00204
MAGED2	3.61	0.00446
MAGT1	2.71	0.00386
MAN2A1	4.5	0.0126
MAP1A	2.78	0.0175
MAPRE3	1.91	0.0139
MARCKSL1	3.49	0.00448
MATR3	6.43	7.78e-05
MCRIP1	3.35	0.000783
MCU	3.48	0.014
MESD	1.18	0.0316
METAP2	2.29	0.0168
METTL7A	3.93	0.000198
METTL9	2.91	0.000558
MGST1	1.91	0.00249
MICU1	1.3	0.0388
MIX23	1.29	0.0258
MLEC	3.45	0.00956
MOB4	1.42	0.018
MOSPD1	2.01	0.0216
MROH1	1.92	0.0173
MRPL14	1.22	0.00884
MRTO4	2.77	0.0107
MTCH2	2.99	0.0288
MTHFD1L	2.12	0.00342
MTHFD2	5.35	0.000647
MTMR2	3.48	0.00259
MTX2	4.22	0.000358
MXRA8	5.11	0.000244
MYADM	5.76	0.000136
MYL12A	3.27	0.0141
MYO18A	2.29	0.047
MYO1B	4.08	0.000355
MYO1C	1.37	0.0137
MYO5A	1.24	0.0142
MYOF	1.58	0.00258
NAGLU	3.04	0.00511
NAPA	1.56	0.0366
NBAS	3.01	0.00746
NCDN	2.13	0.0224
NCEH1	4.87	0.000372
NCL	2.48	0.00884
NCLN	2.28	0.00672
NDUFA12	2.49	0.00346
NDUFA13	2.18	0.0119
NDUFA8	6.31	7.78e-05
NDUFS1	6.69	0.000941
NDUFS3	3.18	0.00941
NDUFV1	4.36	0.0238
NDUFV2	3.32	0.000355
NEK6	3.21	0.0256
NENF	3.26	0.000244
NEU1	4.56	0.0117
NFS1	2.82	0.0382
NFU1	2.44	0.0097
NIPSNAP1	3.15	0.000664
NLN	4.2	0.000285
NLRX1	5.14	0.00402
NNT	2.83	0.00726
NOMO2	2.91	0.000937
NOP10	1.5	0.0192
NPC1	4.3	0.00172
NPLOC4	1.76	0.0371
NPM1	2.9	0.000355
NPTN	4.25	0.000917
NRAS	1.14	0.0183
NRBP1	1.62	0.0214
NSF	3.24	0.000372
NSUN2	2.04	0.0339
NT5C2	1.86	0.0416
NUCB2	3.47	0.00322
NUMB	2.53	0.00204
NUMBL	4.41	0.000893
NUP205	1.4	0.0353
NUP93	3.73	0.00217
OAT	3.42	0.000244
OCIAD1	3.88	0.000244
ORMDL3	4.43	0.00114
OSBPL8	1.58	0.0168
OXCT1	1.55	0.00407
P2RX4	2.64	0.00217
P3H1	3.4	0.00922
P4HA1	2.9	0.000334
P4HB	1.79	0.00172
PALLD	1.19	0.0205
PCCB	4.19	0.000283
PCK2	6.24	0.00842
PCYOX1	4.27	0.000397
PDGFRB	3.09	0.00495
PDHB	2.51	0.0121
PDIA3	1.84	0.00136
PDIA4	8.48	7.78e-05
PDIA6	1.78	0.0268
PDLIM7	2.94	0.0012
PDP1	5.68	0.000151
PDPR	2.87	0.0126
PDXDC1	3.15	0.000842
PEAK1	2.07	0.000841
PELP1	1.43	0.0355
PGPEP1	1.1	0.0495
PGRMC1	3.17	0.000483
PGRMC2	3.25	0.000244
PHB1	3.71	0.00816
PI4K2A	3.24	0.0039
PI4KA	3.77	0.0214
PICALM	4.25	0.00379
PIP4P1	3.06	0.0183
PKD2	4.18	0.000154
PLEC	1.29	0.00794
PLOD1	2.3	0.000712
PLOD2	3.01	0.000289
PLXNB2	5.12	0.0396
PMPCA	3.81	0.00753
PNPLA6	3	0.00216
POGLUT1	4.15	0.0195
POLR1C	1.99	0.0166
POLR2B	4.86	0.00131
POLR2I	3.15	0.00067
POR	1.44	0.00492
PPFIA1	3.69	0.000712
PPIB	1.84	0.002
PPM1B	1.16	0.0418
PPM1G	1.64	0.0252
PPP1R12C	3.07	0.000289
PPP1R13L	2.16	0.0433
PPP2R5D	2.57	0.00212
PPP3R1	4.34	0.000647
PRDX3	1.33	0.00642
PRKAA1	4.48	0.000289
PRKAR1B	3.1	0.00303
PRKAR2A	5.67	8.12e-05
PRKCD	3.21	0.00497
PRKCSH	6.45	0.000124
PRPF19	2.96	0.000795
PRRC1	2.97	0.0192
PRUNE2	3.77	0.00168
PSEN2	3.58	0.00281
PSMC3	1.35	0.0179
PSMC4	1.74	0.0031
PSMD12	1.01	0.0288
PSPC1	2.58	0.00642
PTBP1	3.21	0.000533
PTDSS1	2.73	0.00966
PTGIS	3.7	0.0112
PTPMT1	3.4	0.00131
PTPN9	6.38	0.000289
PTPRA	2.16	0.0215
PTRH2	2.3	0.004
PXDN	4.37	0.00288
PXN	2.75	0.00663
PYCR1	2.97	0.00159
PYCR2	3.12	0.0216
PYM1	2.74	0.000925
RAB11FIP5	2.64	0.00923
RAB18	2.34	0.002
RAB23	1.86	0.0133
RAB27A	3.61	0.000244
RAB2B	3.98	0.000673
RAB30	3.85	0.000925
RAB32	1.29	0.0433
RAB34	3.4	0.00381
RAB3GAP1	1.43	0.0195
RAB6A	1.33	0.00833
RAB8A	1.23	0.0111
RAB8B	3.51	0.00229
RAB9A	3.75	0.00402
RABEP2	1.76	0.0411
RALA	2.82	0.00283
RALB	2.8	0.00388
RANBP2	3.64	0.000289
RAP1A	3.63	0.0106
RAP1B	1.03	0.0147
RAP2A	2.11	0.00299
RBBP4	4.52	0.000334
RBM25	3.97	0.000289
RBM39	3.87	0.000979
RBM8A	1.59	0.0268
RBMS1	1.5	0.0134
RBMX	5.79	0.00234
RBPMS	3.07	0.00299
RCN1	1.11	0.0264
RELA	4.48	0.00024
RHOB	2.93	0.00067
RHOG	3.88	0.00111
RHOQ	1.69	0.0179
RHOT1	3.22	0.00741
RPL10	3.07	0.000866
RPL10A	2.37	0.00893
RPL11	1.22	0.0318
RPL13	3.4	0.000289
RPL13A	2.94	0.000377
RPL14	3.51	0.000368
RPL17	1.99	0.0246
RPL18	2.51	0.00123
RPL18A	1.43	0.0155
RPL19	2.46	0.00398
RPL21	2.73	0.000464
RPL23	1.26	0.015
RPL23A	3.09	0.000593
RPL24	2.2	0.000664
RPL26	1.89	0.00495
RPL27	2.37	0.0018
RPL27A	4.18	0.000289
RPL28	1.81	0.0167
RPL3	2.47	0.00408
RPL30	1.01	0.0131
RPL31	2.81	0.000567
RPL32	3.96	0.00752
RPL34	1.67	0.0495
RPL35	4.49	0.00106
RPL36	3.16	0.00123
RPL36A	2.37	0.00833
RPL4	4.5	0.00172
RPL6	2.75	0.00393
RPL7	2.39	0.00052
RPL7A	2.8	0.00181
RPL8	1.59	0.00795
RPL9	2.98	0.00868
RPLP1	1.88	0.0189
RPN1	3.29	0.000377
RPN2	4.72	0.000142
RPS11	2.16	0.00229
RPS13	2.22	0.00287
RPS14	1.17	0.0299
RPS15	4.67	0.000377
RPS17	2.64	0.000442
RPS18	1.36	0.0116
RPS2	1.35	0.00596
RPS23	1.41	0.0172
RPS24	3.11	0.000582
RPS25	2.06	0.00562
RPS26	2.13	0.00187
RPS27L	3.48	0.013
RPS3A	1.05	0.0185
RPS4X	1.91	0.00379
RPS5	1.87	0.0112
RPS6	2.35	0.00532
RPS9	2.76	0.000355
RPTOR	3.15	0.00155
RRAS	3.75	0.0212
RRBP1	1.3	0.0185
RTN3	2.48	0.007
RTRAF	1.56	0.00853
RUFY1	4.39	0.00555
RUVBL1	2.6	0.0397
RUVBL2	1.79	0.00224
SAMD4A	3.33	0.00303
SAMM50	6.92	0.000465
SARNP	2.6	0.013
SCAMP1	3.97	0.000311
SCAMP3	5.19	0.000699
SCCPDH	5.45	0.00266
SCP2	3.76	0.00127
SCRN1	2.06	0.0116
SDF2	4.17	0.000798
SDF2L1	3.89	0.000376
SDHA	6.44	0.000162
SEC11A	5.58	9.24e-05
SEC16A	1.76	0.024
SEC22B	2.48	0.00259
SEC24C	1.51	0.0212
SEC61A1	6.03	0.00499
SEC61B	6.86	0.000244
SEC62	6.83	9.24e-05
SEC63	5.08	0.000289
SEL1L	3.97	0.00833
SELENOF	3.01	0.00271
SEPTIN11	1.79	0.0144
SEPTIN8	7.01	0.000289
SERBP1	6.83	0.00545
SERPINH1	2.13	0.00213
SF1	4.43	0.00142
SF3A1	3.79	0.0287
SF3B4	4.67	0.00308
SF3B6	3.66	0.0154
SFXN1	1.94	0.0443
SFXN3	5.11	0.000626
SH3GLB1	2.4	0.00399
SH3GLB2	3.49	0.0319
SHMT2	5.23	0.000219
SHOC2	1.57	0.0369
SIDT2	3.4	0.000289
SIGMAR1	3.49	0.000728
SIL1	1.46	0.0229
SLC25A1	4.36	0.000244
SLC25A11	4.76	0.000344
SLC25A12	1.46	0.0231
SLC25A13	1.13	0.0139
SLC25A20	4.45	0.0019
SLC25A22	3.86	0.00361
SLC25A24	3.93	0.00157
SLC25A4	3.64	0.00409
SLC25A5	4	0.001
SLC27A4	5.99	0.000104
SLC2A1	4.2	0.00281
SLC35A4	1.96	0.00589
SLC3A2	8.35	7.78e-05
SLC4A2	3.19	0.000376
SLC9A6	2.25	0.0316
SMAP	3.52	0.000917
SMAP1	4.17	0.0141
SMARCA5	3.55	0.000664
SMARCC2	6.09	0.000164
SMTN	3.69	0.000289
SMURF2	2.38	0.00322
SNAP23	3.32	0.00379
SNAPIN	4.13	0.00213
SNRPA	5.79	8.12e-05
SNRPA1	2.01	0.0368
SNRPB	2.89	0.00158
SNRPD1	5.6	0.00123
SNRPD2	1.66	0.0174
SNRPD3	2.04	0.00787
SNRPE	1.01	0.0132
SNRPG	2.9	0.00432
SNU13	1.7	0.00446
SNX1	5.54	0.000688
SNX18	4.61	0.0045
SNX3	1.82	0.00451
SNX6	3.01	0.00966
SNX7	1.45	0.0194
SPCS2	1.98	0.0459
SPCS3	6.85	0.0154
SPECC1	3.25	0.000688
SPG21	2.67	0.00794
SPRYD4	3.37	0.000312
SPRYD7	1.69	0.00354
SPTBN1	1.09	0.0462
SQSTM1	6.03	0.000604
SRC	2.46	0.0238
SRP14	2.61	0.001
SRP19	3.11	0.000442
SRP54	1.97	0.00654
SRP72	5.25	0.00221
SRPRB	5.54	8.12e-05
SRSF1	3.7	0.00186
SRSF10	3.65	0.00462
SRSF2	2.21	0.00212
SRSF3	4.93	0.000289
SRSF5	1.37	0.0135
SRSF7	3.29	0.000604
SRSF9	2.92	0.0012
SSBP1	2.46	0.00938
SSR1	3.04	0.0141
SSR4	1.94	0.00776
STAT1	3.74	0.00137
STAT5B	4.18	0.000366
STAU1	2.87	0.00871
STIM1	4.98	0.00148
STK24	3.07	0.000555
STK39	2.1	0.00249
STOML2	2.37	0.015
STRIP1	3.43	0.027
STT3A	3.91	0.00253
STT3B	5.63	0.00035
STX18	3.96	0.00308
STX6	2.92	0.0404
STX8	3.61	0.000673
STXBP1	5.72	0.000354
SUCLA2	4.53	0.00268
SUCLG1	1.25	0.0288
SUCLG2	1.08	0.0165
SUPT16H	3.91	0.0186
SUPT5H	2.47	0.00234
SURF4	2.29	0.00106
SWAP70	2.58	0.0416
SYNCRIP	1.11	0.0296
SYNJ2BP	3.64	0.00357
SYNPO	4.16	0.000259
TARDBP	1.46	0.0181
TATDN1	2.97	0.00123
TBL2	1.85	0.00837
TES	1.61	0.00463
TFG	5.76	0.00439
THUMPD1	2.19	0.0382
TIMM13	1.77	0.0196
TIMM23	3.12	0.000599
TIMM44	3.13	0.00271
TIMM8B	1.34	0.026
TIMP3	2.52	0.00227
TIPRL	1.15	0.0327
TJP2	2.58	0.00634
TM9SF1	2.36	0.000992
TM9SF3	4.12	0.027
TM9SF4	1.89	0.0109
TMCO1	5.81	0.000136
TMED10	3.79	0.000219
TMED2	1.73	0.00495
TMED3	5.16	0.000151
TMED4	3.89	0.0111
TMED7	2.85	0.00261
TMED9	4.28	0.00035
TMEM106B	2.79	0.0201
TMEM11	5.28	0.000164
TMEM33	3.62	0.00119
TMEM43	4.29	0.00185
TMEM65	3.17	0.000354
TMOD3	3.36	0.0216
TMPO	4.95	0.000162
TMX2	2.64	0.00321
TMX3	5.82	7.78e-05
TMX4	5.5	0.00172
TNS1	2.35	0.0141
TOMM22	6.5	0.000151
TOMM40	5.5	0.000309
TOMM70	4.61	0.000756
TOP2B	4.86	0.000162
TOR1AIP1	3.08	0.0197
TRA2B	3.51	0.000649
TRAP1	4.36	0.00636
TRIM28	2.15	0.0357
TRIP10	1.57	0.00501
TRIP11	1.63	0.00611
TRMT61A	1.26	0.0415
TSG101	3.79	0.000289
TSNAX	3.92	0.00151
TUFM	1.59	0.00525
TXN2	2.42	0.00968
TXNDC12	4.23	0.00226
U2AF1	3.7	0.00451
U2AF2	6.08	0.00077
U2SURP	1.69	0.00485
UBA3	1.15	0.0269
UBAP2L	2.83	0.0364
UBE2J1	4.18	0.046
UBE4A	1.85	0.00544
UBQLN1	2.63	0.0416
UBR4	1.52	0.00449
UGGT1	1.91	0.002
UGGT2	3.88	0.000338
UQCRC1	3.52	0.0199
UQCRQ	4.03	0.000259
USE1	4.38	0.000162
USP7	2.19	0.0015
UTRN	2.66	0.00852
VAMP3	5.1	0.0303
VAMP4	3.44	0.00262
VAMP7	1.13	0.0138
VAMP8	2.86	0.00376
VAPA	5.23	0.000477
VAPB	4.77	0.000124
VDAC2	3.73	0.00734
VIM	2.74	0.000366
VPS35	2.11	0.00103
VPS51	2.5	0.0227
VTI1B	4.31	0.00733
VWA5A	3	0.0317
VWA8	2.46	0.0408
WASF1	2.62	0.0168
WASHC2C	2.55	0.0113
WASHC3	1.7	0.0333
WASHC5	1.59	0.0024
WDR61	1.39	0.026
WFS1	4.02	0.000219
XYLB	2.09	0.0212
YAP1	2.41	0.00989
YBX1	4.11	0.000355
YBX3	5.58	0.000244
YES1	3.88	0.000919
YTHDF2	3.1	0.015
YTHDF3	3.27	0.00757
ZW10	1.87	0.0186
