ID	T2DM_vs_X5_ratio	T2DM_vs_X5_p.adj
FBXL20	-4.31	0.000711
FERMT2	-2.55	0.000427
FGB	-2.43	0.00817
FGG	-4.93	0.00114
FHL1	-6.73	2.03e-05
FHL3	-3.13	0.000195
FILIP1L	-7.9	6.16e-05
FLG2	-3.81	0.00111
FLNB	-2.76	0.000475
FN1	-1.3	0.00947
FNDC3B	-4.49	0.00148
FSTL1	-2.42	0.00616
GALE	-1.5	0.00866
GALK2	-4.58	5.1e-05
GAPDHS	-3.55	0.000516
GC	-2.25	0.00581
GDA	-10.8	2.03e-05
GDI1	-4.09	0.00018
GLIPR2	-3.7	0.000418
GMDS	-2.64	0.000918
GMPPB	-1.44	0.0023
GPX3	-2.93	0.000369
GSK3B	-1.68	0.00271
GSTA1	-1.53	0.0256
GSTA5	-8.12	2.1e-05
GSTM5	-10.3	2.03e-05
H1-2	-2.64	0.0363
H2AC20	-1.3	0.016
H2BC18	-1.6	0.0117
H4C1	-1.47	0.00941
HBA1	-4.68	0.00314
HDGF	-1.46	0.00597
HDLBP	-1.18	0.00755
HGFAC	-2.6	0.00186
HMGB1	-1.9	0.0066
HNRNPA3	-1.05	0.0478
HNRNPAB	-4.55	7.99e-05
HNRNPF	-1.85	0.0036
HNRNPH1	-3.73	0.000302
HNRNPK	-1.54	0.0105
HNRNPM	-4.65	0.000213
HNRNPU	-6.39	4.84e-05
HOMER3	-2.31	0.000895
HOOK3	-2.91	0.000542
HPCAL1	-1.98	0.00294
HPRT1	-3.45	0.000123
HSD17B8	-1.28	0.00922
HSP90AB1	-2.96	0.000191
HSP90AB4P	-5.67	0.00351
HSPA8	-1.14	0.0209
HSPG2	-3.04	0.000289
IDH1	-1.21	0.00455
IDH3A	-1.58	0.00542
IFT22	-1.47	0.00808
IGF2	-4.59	0.00157
IGFBP2	-4.29	0.00162
IMPACT	-4.01	6.62e-05
IMPDH2	-1.38	0.0115
IPO5	-1.08	0.0248
IPO9	-1.59	0.012
IST1	-1.17	0.0146
ITGA1	-5.41	3.77e-05
ITIH1	-2.9	0.00158
ITIH2	-3.2	0.00267
ITIH3	-1.4	0.0178
ITPR1	-13.7	4.25e-05
KANK2	-4.17	6.86e-05
KIF13B	-3.38	0.00296
KRT1	-4.48	0.00209
KRT10	-5.46	0.000119
KRT14	-5.2	0.00395
KRT16	-6.39	0.0175
KRT2	-5.36	8.47e-05
KRT4	-3.64	0.00951
KRT5	-4.55	0.00258
KRT6A	-7.13	0.00381
KRT6B	-7.4	0.022
KRT77	-2.04	0.00668
KRT9	-4.56	0.0035
KTN1	-3.94	0.000176
LGALSL	-2.65	0.000527
LIMS1	-2.9	0.000377
LIMS2	-2.85	0.00618
LMNA	-1.32	0.0203
LMNB1	-4.92	0.000209
LMOD1	-3.63	0.00443
LSM12	-1.19	0.0157
LSM8	-2.02	0.00134
LTF	-2.85	0.00118
LUM	-1.04	0.0415
MAGOH	-2.49	0.0101
MAPK8	-2.59	0.00489
MARCHF5	-8.84	4.84e-05
MARK2	-3.56	0.0285
MAT1A	-3.88	0.00159
MBNL1	-2.12	0.00195
MBNL2	-7.93	2.06e-05
MICU1	-1.28	0.036
MOB4	-1.18	0.0287
MPRIP	-1.85	0.00999
Msrb3	-2.4	0.00312
MTAP	-2.36	0.000531
MYH11	-5.07	0.0117
MYH9	-1.87	0.00156
MYL12B	-1.01	0.0103
MYL6	-1.72	0.0153
MYL6B	-1.97	0.00893
MYL9	-5.96	2.68e-05
MYO1C	-2.07	0.00217
MYO1D	-2.23	0.0109
MYO1E	-1.89	0.000878
NACA	-2.31	0.0021
NACA4P	-4.73	7.36e-05
NAP1L1	-1.2	0.0123
NCAM1	-2.77	0.00599
NEDD4	-4.47	5.15e-05
NEDD4L	-4.98	0.000182
NEK9	-2.51	0.000351
NEXN	-3.94	0.000162
NME1	-3.16	0.000297
NME2	-2.41	0.000807
NOL3	-3.5	0.000123
NONO	-4.61	8.88e-05
NOP10	-3.1	0.000926
NPEPL1	-1.59	0.00211
NQO1	-3.68	8.3e-05
NRAS	-4.69	7.86e-05
NUDC	-1.9	0.00259
NUDT21	-2.22	0.00132
NUDT3	-1.03	0.0238
NUP62	-4.75	0.00107
OPA1	-2.75	0.00025
ORMDL3	-2.36	0.00967
OSTF1	-2.69	0.00287
P2RX4	-1.72	0.00856
P4HA1	-1.21	0.00565
PA2G4	-1.31	0.00554
PABPC1	-2.63	0.00179
PABPC4	-3.58	0.000841
PAICS	-1.02	0.0138
PAK1	-5.85	0.00129
PALLD	-1.71	0.00429
PARVA	-2.23	0.00299
PBDC1	-1.27	0.00747
PCBP1	-2.23	0.000521
PCBP2	-1.58	0.00215
PCBP3	-1.6	0.0056
PCNA	-3.37	0.000584
PDCL3	-3.14	0.00062
PDGFRB	-3.79	0.00162
PDHA1	-4.57	4.81e-05
PDLIM1	-2.44	0.000516
PFDN2	-1.24	0.0247
PFDN5	-1.48	0.00556
PGAM4	-1.47	0.00346
PHB2	-1.64	0.0152
PHGDH	-3.74	0.00229
PHLDA3	-3.76	0.00113
PHLDB1	-5.33	8.42e-05
PHLDB2	-4.74	0.000102
PIN4	-3.1	0.00103
PIP	-3.74	0.00681
PIR	-3.34	0.000357
PITPNA	-2.11	0.00113
PLG	-3.24	0.00145
PLOD2	-2.2	0.000503
PLOD3	-5.2	4.84e-05
PMM1	-3.17	0.000252
POLR1C	-1.42	0.0445
POLR2E	-2.32	0.00125
POLR2G	-1.73	0.0148
POR	-1.67	0.00204
POTEF	-2.23	0.00485
PPM1A	-7.97	0.000235
PPME1	-1.31	0.0255
PPP1CA	-1.76	0.003
PPP1R12A	-1.79	0.0428
PPP1R13L	-3.18	0.00946
PPP2CA	-1.55	0.00948
PPP2CB	-1.53	0.00566
PPP2R2A	-2.08	0.00099
PPP4C	-3.24	0.0013
PRAF2	-1.47	0.0223
PRDX4	-3.15	0.000163
PRMT1	-2.14	0.00329
PRPF8	-5.92	4.81e-05
PSMA4	-1.13	0.0149
PSMA5	-1	0.0194
PSMA6	-1.03	0.0101
PSMC6	-1.49	0.00207
PSMD4	-4.31	8.82e-05
PSMD6	-2.32	0.00106
PSME3	-1.15	0.0398
PSPH	-3.79	7.96e-05
PTBP3	-4.95	0.00131
PTDSS1	-1.89	0.0296
PTGES3	-2.28	0.000663
PTK2	-2.03	0.00109
PTMA	-2.21	0.0035
PTP4A1	-3.49	0.00342
PYCR1	-1.27	0.0296
PZP	-1.2	0.0415
QKI	-3.7	0.00476
RAB11A	-1.36	0.00592
RAB21	-1.32	0.00509
RAB22A	-2.47	0.0056
RAB2B	-1.66	0.0138
RAB35	-2.35	0.00107
RAB4B	-2.97	0.000226
RACK1	-2.52	0.00155
RAN	-1.65	0.00152
RANBP1	-2.15	0.000771
RAP2A	-2.19	0.0019
RASA1	-2.09	0.0134
RBBP7	-1.97	0.00328
RBM14	-3.76	0.00105
RBM3	-1.97	0.0116
RBM39	-1.34	0.0396
RBP4	-2.96	0.00937
RBX1	-1.62	0.00395
RGN	-4.75	0.000728
RHOJ	-5.6	0.00322
RHOT1	-1.86	0.0419
RIPK2	-4.95	0.00121
RND3	-1.26	0.00434
RNF7	-2.5	0.00965
ROCK2	-3.2	0.00124
RPL11	-1.47	0.014
RPL15	-4.28	9.83e-05
RPL22	-1.17	0.00696
RPL23	-1.65	0.0044
RPL30	-1.95	8e-04
RPL36A	-1.42	0.0421
RPL37A	-3.75	0.000195
RPS14	-1.06	0.0363
RPS16	-1.37	0.00584
RPS19	-1.13	0.018
RPS21	-1.67	0.0107
RPS27	-1.7	0.00285
RPS28	-1.29	0.0338
RPS3	-1.66	0.00434
RPS7	-5.89	0.000145
RPS8	-1.54	0.0158
RPSA	-1.78	0.00381
RRP12	-3.19	0.0154
RTCA	-1.49	0.0385
RTCB	-2.58	0.00367
RWDD4	-1.44	0.00906
S100A4	-2.2	0.0188
S100A6	-2.33	0.00108
SACM1L	-6.31	4.81e-05
SAFB	-3.09	0.0417
SAMD9L	-3.42	0.00107
SCPEP1	-2.27	0.003
SDHB	-3.46	0.000516
SEC13	-1.49	0.0045
SEPTIN11	-2.13	0.00595
SEPTIN2	-2.17	0.00715
SEPTIN7	-4.46	8.88e-05
SEPTIN9	-1.93	0.00103
SERPINB9	-7.58	8.84e-05
SERPINC1	-1.74	0.00309
SERPINF1	-3.11	0.00192
SET	-1.4	0.0277
SF3B1	-5.97	0.000253
SFPQ	-5.16	8.3e-05
SH3BGRL2	-3.17	0.00639
SH3GL1	-3.58	0.000142
SH3GLB1	-3.29	0.000842
SIRT2	-3.55	0.000123
SLC12A4	-8.68	2.03e-05
SLC25A3	-1.56	0.0152
SLC25A5	-1.39	0.0399
SLC9A3R1	-1.93	0.00217
SMARCC2	-1.84	0.00626
SMC3	-2.71	0.0153
SNF8	-1.02	0.0223
SNRNP200	-5.34	6.74e-05
SNRPF	-2.08	0.00258
SNTB2	-4.36	0.00044
SNX12	-1.61	0.0128
SNX5	-1.6	0.0112
SRGAP2	-3.2	0.00463
SRPRA	-3.35	0.0411
SRRT	-2.92	0.00208
SRSF5	-2.46	0.00107
SRSF6	-3.59	0.000182
SRSF7	-1.18	0.0215
SSRP1	-4.36	0.000148
STAM	-3.7	0.000276
STIP1	-4.78	9.29e-05
STK10	-4.07	0.00012
STK26	-4.99	0.000226
STMN1	-1.64	0.00326
STMN2	-4.16	0.0126
STOM	-1.72	0.0024
STRN	-1.08	0.0355
STRN3	-2.58	0.000821
SVIL	-2.1	0.0036
SYNJ1	-2.37	0.018
TAGLN	-2.02	0.0013
TAGLN2	-1.34	0.0066
TAGLN3	-13.4	8.82e-05
TALDO1	-1.2	0.0063
TBC1D13	-2.6	0.00592
TBL2	-1.8	0.00711
TCEA1	-2.1	0.00485
TCP1	-1.52	0.00468
TF	-1.34	0.0202
TGFB1I1	-3.83	0.0104
THBS1	-2.76	0.000914
THBS4	-2.06	0.00687
TIA1	-3.16	0.00762
TIAL1	-1.23	0.0162
TIMM8A	-3.46	0.0024
TIMM8B	-2.06	0.00441
TMED2	-1.02	0.0273
TMPO	-2.18	0.00131
TMSB4X	-2.99	0.0045
TOM1L2	-3.19	0.00019
TOR1AIP2	-1.86	0.00326
TOR1AIP2	-1.45	0.00857
TPD52	-2.88	0.000165
TPM1	-3.06	0.00208
TPM2	-5	0.000293
TPM3	-1.55	0.0187
TPP2	-2.72	0.00108
TTR	-4.23	0.00402
TUBB4B	-5.23	3.45e-05
TXNL1	-2.57	0.000737
UBE2D3	-3.3	0.000522
UBE2K	-1.52	0.00309
UBE2M	-1.78	0.0104
UBE2V2	-3.48	0.000136
UBE4B	-2.53	0.000958
UBL4A	-1.19	0.00661
UCK2	-3.71	0.000484
UPF1	-2.14	0.00212
VAMP8	-4.93	0.000318
VBP1	-2.16	0.0016
VCAM1	-7.81	5.15e-05
VCL	-1.33	0.022
VNN1	-2.05	0.00411
VPS26B	-3.88	0.000774
VPS35L	-2.69	0.00204
WASHC4	-7.03	6.62e-05
XRN1	-1.28	0.00475
YWHAB	-1.11	0.0221
YWHAE	-1.91	0.00282
YWHAG	-2.56	0.000676
YWHAH	-1.21	0.00871
YWHAZ	-1.72	0.00558
