ID	CS.T2DM_vs_M.Ctr_ratio	CS.T2DM_vs_M.Ctr_p.adj
PARVA	-2.78	3.69e-05
PTGES3	-3.03	7.89e-05
UBE2V2	-2.75	0.000253
DDAH1	-2.94	1.22e-05
CAV1	-1.19	0.00248
BGN	-7.25	2.44e-06
PRKAR1A	-1.1	0.000942
SEC23B	-4.91	3.4e-06
SEC13	-1.65	0.000163
RPL10A	-1.28	0.000776
S100A6	-2.71	0.000253
TRAP1	-1.7	0.000115
PA2G4	-2.07	0.000457
RPL11	-1.9	0.000118
RAB4B	-2.51	5.32e-05
IMPDH2	-1.98	9.74e-05
PCBP3	-2.29	0.000926
MYO1E	-1.41	0.000376
CYRIB	-1.85	0.000245
EIF3E	-1.57	0.000582
ASNS	-5.56	6.77e-06
NCAM1	-3.7	0.000843
EIF3I	-1.6	0.000175
PREP	-5.47	3.98e-05
ANKH	-3.18	6.45e-05
AHCYL1	-1.17	0.000944
HIBADH	-1.97	9.42e-05
NAP1L1	-1.26	0.000376
ATP6V1C1	-1.17	0.000701
S100A4	-2.25	0.00352
SRSF2	-2.67	8.76e-05
APPL1	-4.54	2e-05
RPL15	-3.87	1.11e-05
C4A	-2.08	0.000148
PPP2R2A	-1.9	0.000131
PAK1	-6.61	1.05e-05
SHMT2	-1.21	0.000476
PSPH	-5.24	6.86e-06
CTPS1	-1	0.00159
RASA1	-1.08	0.0195
TMED9	-1.09	0.00499
SPARC	-1.55	0.00014
DYNC1LI1	-2.03	0.000156
TES	-2.92	5.09e-05
QDPR	-2.19	0.0146
EIF3F	-1.32	0.000799
CAT	-4.47	4.76e-06
GNAQ	-2.85	2.61e-05
UBA2	-1.89	0.000258
KLC1	-1.03	0.000591
ACTR1B	-3.55	0.000376
RANBP1	-2.66	2.6e-05
RAB2B	-2.89	0.0101
RPS15A	-1.09	0.0113
TTR	-1.16	0.0243
MEMO1	-2.14	5.98e-05
DNAJB11	-2.37	0.000116
VPS25	-1.44	0.000149
RPL28	-1.08	0.0178
CAMK2G	-1.09	0.00203
ITPR1	-5.46	3.4e-06
RPL24	-1.97	4.12e-05
PCK2	-4.6	7.97e-06
RPL22	-1.01	0.00282
CDK5	-2.48	0.000208
TMSB4X	-3.65	9.57e-05
PPP2R1B	-2.47	0.00268
OSTF1	-2.2	0.000108
CBX3	-1.2	0.00187
SNX12	-1.42	0.00106
FBLN1	-4.6	0.000263
HGFAC	-1.41	0.00257
PSME3	-1.93	0.00021
PDHA1	-2.44	3.07e-05
PCNA	-2.97	0.000274
GMPPB	-1.94	0.000135
SRSF1	-3.14	1.28e-05
OGA	-1.87	0.000118
CLEC3B	-2.21	0.00203
DDX39B	-1.25	0.00053
PDGFRB	-7.94	4.82e-05
AKR1B10	-11.2	3.98e-07
HNRNPL	-1.4	0.000183
FSTL1	-2.11	0.000143
FHL3	-3.44	1.22e-05
YBX3	-2.83	2.78e-05
RPL19	-1.24	0.000538
UBE2M	-1.77	0.000275
SH3GLB1	-3.2	0.00419
PURA	-1.53	0.00356
RPL38	-1.27	0.00241
VPS26A	-1.87	0.0226
RPS27	-1.25	0.00114
RUVBL1	-1.46	0.000278
BAG6	-1.34	0.000339
EML1	-3.44	0.000454
CAPG	-2.48	0.000258
NEDD4L	-5.28	2.78e-06
IDH3B	-1.34	0.000455
RAB30	-1.51	0.00334
PDCD10	-1.84	0.000171
EIF3K	-1.11	0.000437
SHMT1	-2.32	0.000168
RUVBL2	-1.6	0.000262
TARDBP	-2.18	3.59e-05
HNRNPAB	-4.04	5.7e-06
FUS	-3.34	1.46e-05
LPP	-2.02	7.41e-05
DDX6	-1	0.0109
RAB22A	-2.26	0.00109
NRAS	-5.18	4.43e-06
CARS1	-1.12	0.000834
SRSF3	-1.85	6.26e-05
UBE2D3	-3.12	0.000103
PSMD9	-1.04	0.00693
RPL31	-1.83	0.00265
CLIP2	-2.47	3.23e-05
SDHB	-1.88	0.000333
RAP2C	-3.47	0.000208
SACM1L	-1.68	0.00161
ERH	-1.27	0.000335
RPL34	-1.72	0.0029
MOB4	-2.65	8.76e-05
ANP32E	-4.04	5.49e-06
UBE2H	-1.25	0.000245
KRT78	-2.86	0.00622
LIMS2	-5.65	1.62e-05
GAPDHS	-6.99	1.94e-05
DNAJA2	-1.93	0.00216
GMPS	-1.19	0.00162
IST1	-2.87	1.46e-05
CAPRIN1	-1.84	0.000437
CUL3	-1.42	0.00116
DYNLT1	-1.47	0.00238
ITGA1	-6.58	1.06e-05
RHOB	-1.82	0.000244
TMX3	-2.01	5.33e-05
ELAVL1	-1.47	0.00871
SET	-1.54	0.000116
SGTA	-1.77	0.000313
NACA4P	-6.32	4.21e-05
FAM120A	-1.03	0.00187
CSNK2B	-1.53	0.00426
LMNB1	-4.34	1.2e-05
STRN3	-3.23	3.98e-05
LMCD1	-3.98	1.61e-05
LYPLA1	-1.48	0.000656
NUDCD2	-2.93	0.000423
PDAP1	-1.77	0.000175
KPNA1	-1.09	0.00499
CLTB	-2.14	0.000332
HOOK3	-1.55	0.00167
LMOD1	-3.55	1.4e-05
RAB23	-1.2	0.000645
STK26	-7.1	2.22e-06
EIF2S2	-2.35	4.72e-05
RPS28	-2.38	0.000719
RAP2A	-1.22	0.0401
SSR1	-1.9	0.000112
RPL36	-1.53	0.0022
SARNP	-1.93	0.000196
ITPA	-1.34	0.000496
GLIPR2	-4.16	3.32e-05
SCPEP1	-2.28	0.000489
VPS26B	-2.2	5.99e-05
DSG1	-2.87	0.00682
IDH3G	-1.58	0.000278
CLINT1	-2.4	4.72e-05
H1-2	-2.05	8.8e-05
SNRPF	-1.79	0.00162
HPCAL1	-2.5	0.000354
RBPMS	-1.42	0.00531
PC	-1.26	0.007
RBM8A	-1.2	0.00265
GMDS	-3.33	0.000121
RPL23A	-1.22	0.000906
RPS21	-1.52	0.00404
NUDC	-1.13	0.00373
CNPY4	-2.44	0.00589
CNOT9	-2.87	1.4e-05
SRP54	-1.07	0.000991
SNF8	-2.77	3.92e-05
SNX5	-1.69	0.0027
PPFIBP1	-1.42	0.0158
CYB5A	-4.27	1.7e-05
ALDH3A1	-8.29	8.21e-05
ACAP2	-1.07	0.0133
NIT1	-2.34	4.46e-05
ARPC5L	-1.07	0.000979
PBDC1	-3.33	3.96e-05
CCDC6	-1.36	0.00135
ITIH1	-4.13	0.000165
PFDN2	-1.48	0.00471
ARL3	-1.38	0.000451
APOC3	-3.59	0.00108
UFM1	-1.26	0.00282
TNPO2	-1.2	0.0162
SNRPD3	-1.27	0.00205
CAB39	-1.46	0.000541
ARHGEF1	-2.12	0.000422
PPME1	-1.54	9.8e-05
SLC12A4	-4.66	4.57e-06
IMPACT	-5.35	3.04e-06
LSM2	-1.27	0.00296
IGFBP2	-2.2	0.00233
RTCA	-1	0.00363
ST13	-1.37	0.00105
EMC2	-1.15	0.000622
CAVIN3	-1.22	0.00268
COMP	-3.47	0.00234
COL5A1	-1.26	0.00115
RND3	-1.24	0.000683
DRG1	-1.31	0.00437
FNDC3B	-2.16	0.000132
UBA3	-1.35	0.00141
TMSB10	-1.56	0.00552
PHLDB1	-2.02	6.46e-05
VAMP8	-6.49	3.65e-05
DCLK1	-2.17	0.00017
ADA	-2.78	1.18e-05
PPM1A	-2.96	0.000278
UBQLN2	-2.72	0.000238
GSTA5	-11.7	4.4e-07
FARP1	-2.95	4.31e-05
CYP1B1	-1.59	0.000267
STRN	-1.42	0.00247
PTMA	-3.64	2.07e-05
FBLN2	-6.35	5.55e-06
NUDT3	-1.82	0.00259
TPD52	-4.45	9.78e-06
BTF3L4	-2.6	6.81e-05
CHMP5	-1.73	0.0179
GSTA1	-6.41	1.22e-05
ZBTB8OS	-1.57	0.0146
SRSF7	-1.53	0.0294
HDGF	-1.22	0.00271
MOB1B	-1.13	0.000511
RHOJ	-1.64	0.0162
RCN2	-1.71	0.000135
NPEPL1	-1.83	0.0015
NLRX1	-3.28	0.000123
BABAM2	-2.14	0.000234
STMN2	-6.12	2.36e-05
KRT80	-5.07	0.000178
VBP1	-2.65	1.61e-05
IDE	-1.18	0.000701
PHLDA3	-2.56	0.000409
RBMS1	-2.72	1.4e-05
NAA10	-1.17	0.0227
EIF3J	-2.55	0.000126
SRSF5	-2.51	8.4e-05
GYG1	-2.05	0.0035
CAMK1	-3.42	1.69e-05
CBX1	-1.18	0.00915
SUCLA2	-1.28	0.000359
ATXN10	-2.01	0.000851
CDV3	-1.6	0.000509
PTPN9	-1.65	0.00494
PYCR1	-2.92	1.32e-05
YPEL5	-1.19	0.0164
PPP4C	-4.49	0.000238
RBM14	-1.02	0.00572
IGF2BP2	-1.59	0.000118
ALDH6A1	-1.97	0.00045
SH3GL1	-1.33	0.000376
PTK2	-2.06	4.72e-05
HOMER3	-2.23	8.83e-05
EFR3A	-1.46	0.00307
ACTR10	-1.22	0.00549
GSK3B	-1.52	0.000672
CYRIA	-3.45	0.00438
RPS29	-1.42	0.00194
HNRNPLL	-2.05	0.00785
ARFIP1	-1.62	0.00078
UCK2	-3.09	0.00173
SYNPO	-1.82	0.000126
CPSF6	-1.05	0.00822
PDCL3	-3.28	8.83e-05
SF3A1	-1.48	0.00208
LSM12	-2.52	5.25e-05
BDH1	-1.8	0.000242
DNAJA1	-1.68	0.00621
ABRAXAS2	-1.79	0.000245
COL12A1	-1.61	0.000135
DLGAP4	-1.99	0.000135
UBXN1	-1.54	0.000308
SIGMAR1	-1.47	0.000523
GALE	-3.27	0.000778
GSTM5	-10.8	4.48e-06
METAP1	-1.35	0.00171
RBBP7	-2.72	3.5e-05
SEPTIN5	-1.98	0.0196
UBL5	-2.44	0.000139
GPX3	-6	4.1e-06
AAMP	-2.16	0.000126
LGALSL	-3.33	2.6e-05
NUFIP2	-1.63	0.0281
HDGFL3	-2.46	7.41e-05
SMAP	-2.23	0.00599
SRSF6	-2.94	7.49e-05
DBT	-1.24	0.0045
NOL3	-4.09	3.07e-05
RPIA	-1.46	0.00364
ALDH1L1	-9.47	5.7e-06
FUBP1	-1.49	0.00319
EMC8	-1.97	0.000635
TIMM8A	-3.64	2.14e-05
POLR2E	-1.59	0.000239
SIRT2	-3.21	0.000263
COL8A1	-2.88	0.000142
NMT2	-1.88	0.000157
PMM1	-2.27	0.000195
ALDH3A2	-1.72	0.00353
SNX4	-1.51	0.00137
APCS	-3.17	0.00353
TMPO	-1.91	0.000175
AFDN	-2.46	1.83e-05
PIR	-2.9	6.45e-05
GIT1	-2.29	8.83e-05
AFAP1	-1.88	0.000991
MTHFD2	-2.93	0.000227
RUFY1	-2.07	0.000164
NENF	-1.32	0.0264
RPL36A	-2.36	0.00267
PDP1	-1.18	0.0295
SSU72	-2.44	0.00217
ALYREF	-1.21	0.0131
SEC62	-1.05	0.00262
ANKHD1	-3.49	6.31e-05
PTBP3	-3.95	0.000157
RGN	-1.52	0.00343
MAGOH	-1.5	0.00557
TFRC	-1.85	0.000376
ARHGEF10L	-3.13	0.0015
RABGAP1	-1.55	0.00197
MCRIP1	-1.16	0.0278
SPRYD7	-1.66	8.4e-05
ARFRP1	-2.32	0.00127
TIAL1	-1.3	0.00118
Msrb3	-2.47	8.5e-05
TOR1AIP2	-1.77	0.0024
TIA1	-2.07	0.022
RWDD4	-1.85	0.000123
TIMM8B	-2.3	0.00021
PPP1R13L	-5.46	0.000141
PSEN2	-2.5	6.31e-05
SERPINB9	-4.97	0.000331
DYNLRB1	-1.1	0.00199
BIN1	-1.05	0.0391
CYP20A1	-3.08	0.000159
IMPDH1	-3.47	0.000215
ARPIN	-3.46	0.000146
LSM8	-1.79	0.00719
TRMT61A	-2.59	5.67e-05
POLR1C	-4.59	3.22e-06
CTBP1	-1.4	0.0174
APOA1	-1.12	0.00426
PRKAR1B	-2.39	0.00105
ARL6IP1	-1.96	0.000238
AIP	-1.2	0.00134
HSD17B8	-2.91	0.000101
NUMBL	-1.83	0.00105
ZNF330	-2.81	0.000128
GID8	-2.47	0.00185
DAZAP1	-1.21	0.00331
ANP32B	-2.13	0.000159
NEU1	-1.03	0.00107
SAMD9L	-2.35	0.004
NEK6	-3.07	0.00714
VCAM1	-11	2.23e-06
COG3	-1.42	0.00336
BCKDHA	-2.28	0.000219
ANKRD46	-3.93	8.76e-05
PHLDB2	-1.64	0.00713
AACS	-1.58	0.0031
QKI	-2.56	0.000421
METTL9	-2.06	0.00152
MBNL1	-1.15	0.0035
LEMD2	-1.68	0.00519
CRELD1	-3.99	0.0067
VPS35L	-1.18	0.0028
ELP1	-1.2	0.00979
SMARCC2	-4.29	2.14e-05
ARAF	-3.32	0.000895
RNF7	-1.09	0.00595
ACTL6A	-1.41	0.00187
BCKDHB	-2.36	6.02e-05
YRDC	-1.69	0.00205
STK10	-3.67	1.32e-05
BLOC1S4	-1.48	0.00262
BCL2L1	-2.26	5.99e-05
SRGAP2	-1.82	0.0102
BLOC1S1	-2.45	6.31e-05
MIX23	-1.12	0.00403
PDK3	-2.67	0.0155
TBC1D13	-2.57	0.000321
MBNL2	-5.74	4.67e-06
COG5	-1.04	0.0181
PIN4	-1.81	0.00395
RIPK2	-3.41	3.81e-05
SEC61B	-1.53	0.00109
ORMDL3	-1.15	0.0308
VWA5A	-2.68	3.65e-05
RBM39	-1.04	0.0174
GSK3A	-2.11	0.0307
MARCKSL1	-2.55	0.000882
GALK2	-5.54	4.57e-06
FILIP1L	-2.3	0.000703
FAM98B	-1.29	0.00271
RAB27A	-3.32	5.55e-05
CELF1	-6.14	3.07e-05
SF1	-1.05	0.00411
POGLUT1	-2.14	0.000146
SMAP1	-1.16	0.0265
JPT1	-1.59	0.0298
CNTN1	-5.72	0.000157
SAMD4A	-1.35	0.0184
IFT22	-1.19	0.00535
CCDC93	-3.1	0.000187
PCCB	-4.42	7.41e-05
THUMPD1	-1.41	0.0113
ARG1	-4.69	0.00966
C9	-3.75	0.000826
FAM107B	-1.56	0.0191
ORMDL1	-2.12	0.00186
PACSIN3	-3.41	0.000392
PRRX1	-2.83	0.000189
UNC119B	-1.49	0.000569
AUH	-2.6	0.000133
WASHC2C	-3	0.000135
SLC9A6	-2.31	9.71e-05
DNAJB12	-1.98	0.0357
CSTF2	-1.12	0.000887
ARL6	-1.06	0.0284
TMED3	-1.18	0.00173
PPIP5K1	-2.67	0.0235
SNX7	-3.22	0.000335
VAMP4	-1.19	0.0209
SMAD2	-2.23	9.15e-05
DSC1	-4.71	0.0283
POLR2G	-1.23	0.001
GPD1L	-2.61	2.46e-05
TCEA1	-1.73	0.00048
UHRF1BP1L	-2.04	0.000359
F10	-6.22	1.65e-05
CHMP2A	-5.43	5.7e-06
CP	-3.1	0.036
BABAM1	-1.18	0.00274
FGB	-3.32	0.00441
RIOK3	-3.86	2.6e-05
MAT1A	-5.86	0.00235
RUFY3	-1.41	0.0109
STX6	-2.53	0.000615
P2RX4	-2.94	0.00187
C1QTNF3	-2.94	0.00233
EMC6	-1.92	0.000156
ABCA1	-2.59	0.0353
PPM1G	-1.52	0.00197
EIPR1	-1.28	0.000787
GPHN	-3.52	9.93e-05
SH3BGRL2	-1.53	0.000455
CNOT7	-1.34	0.00363
COL18A1	-3.16	0.00496
BICD2	-1.71	0.000959
MTA2	-1.77	0.000885
ADAMTS13	-1.19	0.0436
GOPC	-3.06	0.00264
UBE2J1	-3.64	0.000665
ABI1	-1	0.00961
