ID	X10_vs_X5_ratio	X10_vs_X5_p.adj
NDUFS3	3.21	0.00904
NDUFV1	4.49	0.0213
NDUFV2	3.18	0.000398
NENF	3.17	0.000258
NEU1	4.26	0.0144
NFS1	2.86	0.0363
NFU1	2.9	0.00512
NIPSNAP1	3.19	0.00066
NLN	4.5	0.000244
NLRX1	5.59	0.00294
NNT	2.82	0.00716
NOMO2	2.91	0.000924
NOP10	1.52	0.0182
NPC1	4.6	0.00132
NPLOC4	2.13	0.0195
NPM1	2.9	0.000339
NPTN	4.53	0.000726
NRBP1	1.78	0.0152
NSF	3.56	0.000307
NSUN2	2.09	0.0313
NUCB2	3.83	0.00227
NUMB	3.03	0.00101
NUMBL	4.72	0.000714
NUP205	1.61	0.022
NUP93	3.97	0.00172
OAT	3.53	0.00024
OCIAD1	4.04	0.000228
ORMDL3	4.57	0.00101
OSBPL8	1.69	0.0128
OXCT1	1.68	0.00303
P2RX4	3.46	0.000793
P3H1	3.46	0.00846
P4HA1	2.99	0.000307
P4HB	1.99	0.00112
PALLD	1.49	0.00899
PC	1.05	0.0477
PCCB	4.26	0.000264
PCK2	6.55	0.00699
PCYOX1	4.62	0.000326
PDGFRB	3.27	0.004
PDHB	2.7	0.00916
PDIA3	1.89	0.00122
PDIA4	8.41	6.8e-05
PDIA6	1.9	0.0212
PDLIM7	3.04	0.00105
PDP1	5.49	0.000152
PDPR	2.68	0.0158
PDXDC1	3.3	0.000726
PEAK1	2.27	0.000617
PELP1	1.56	0.0261
PFKP	1.26	0.0102
PGRMC1	3.03	0.000577
PGRMC2	3.13	0.000268
PHB1	3.57	0.00907
PI4K2A	3.01	0.00505
PI4KA	3.69	0.0228
PICALM	4.64	0.00272
PIP4K2B	2.35	0.0111
PIP4P1	3.67	0.00931
PIP4P2	3.15	0.0233
PKD2	4.03	0.000153
PLEC	1.27	0.00809
PLOD1	2.49	0.000568
PLOD2	3.34	0.000244
PLXNB2	4.99	0.0429
PMPCA	3.79	0.00749
PMPCB	3.33	0.0194
PNPLA6	3.14	0.00183
POGLUT1	4.16	0.0189
POLR1C	2.03	0.015
POLR2B	3.77	0.00347
POLR2I	2.83	0.00097
POR	1.61	0.00326
PPFIA1	3.77	0.000678
PPIB	1.74	0.00248
PPM1B	1.49	0.0178
PPM1G	1.83	0.017
PPP1R12C	3.27	0.000264
PPP1R13L	2.33	0.0338
PPP2R5D	2.79	0.00153
PPP2R5E	2.62	0.0358
PPP3R1	4.48	0.000577
PRDX3	1.13	0.0111
PRKAA1	4.96	0.000228
PRKAR1A	1.14	0.0377
PRKAR1B	3.42	0.0021
PRKAR2A	5.82	8.39e-05
PRKCD	2.54	0.0112
PRKCSH	6.73	0.000103
PRKG1	4.22	0.0138
PRPF19	2.93	0.000819
PRRC1	3.21	0.0142
PRUNE2	3.89	0.00148
PSEN2	3.09	0.00482
PSMC3	1.55	0.0109
PSMC4	1.9	0.00226
PSMD12	1.15	0.0184
PSPC1	3.03	0.0035
PTBP1	3.34	0.000475
PTDSS1	2.63	0.0108
PTGIS	3.8	0.00987
PTPMT1	3.19	0.0017
PTPN9	5.83	0.000327
PTPRA	2.09	0.0237
PTRH2	2.45	0.0032
PXDN	4.16	0.0035
PXN	2.84	0.00579
PYCR1	2.87	0.00181
PYCR2	2.95	0.0258
PYM1	2.62	0.00106
QKI	2.34	0.0306
RAB11FIP5	2.62	0.00929
RAB18	2.21	0.00248
RAB23	1.76	0.0158
RAB27A	3.57	0.000244
RAB2B	4.08	0.000628
RAB30	3.73	0.00101
RAB32	1.24	0.0494
RAB34	3.26	0.00437
RAB3GAP1	1.39	0.0211
RAB6A	1.21	0.0112
RAB8B	3.65	0.00199
RAB9A	3.63	0.00445
RABEP2	1.95	0.0289
RALA	2.83	0.00278
RALB	2.63	0.00485
RANBP2	3.72	0.000281
RAP1A	3.71	0.0095
RAP2A	1.98	0.00384
RBBP4	4.53	0.00032
RBM25	3.91	0.000307
RBM39	3.64	0.00123
RBM8A	1.43	0.0373
RBMS1	1.55	0.0114
RBMX	5.99	0.00209
RBPMS	3.14	0.00275
RCN1	1.23	0.0185
RELA	4.14	0.000268
RHOB	2.82	0.000765
RHOG	3.8	0.00121
RHOQ	1.42	0.0313
RHOT1	3.42	0.00577
RO60	3.21	0.0483
RPL10	2.82	0.00115
RPL10A	2.06	0.0145
RPL11	1.11	0.0425
RPL13	3.47	0.000268
RPL13A	2.63	0.000572
RPL14	3.11	0.000572
RPL18	2.13	0.00238
RPL18A	1.14	0.0327
RPL19	2.28	0.00524
RPL21	2.26	0.000865
RPL23	1.1	0.0233
RPL23A	2.93	0.000714
RPL24	1.92	0.00105
RPL26	1.85	0.00527
RPL27	2.32	0.00195
RPL27A	4.04	0.000307
RPL28	1.79	0.017
RPL3	2.52	0.00384
RPL31	2.63	0.000712
RPL32	3.91	0.00771
RPL35	4.38	0.00116
RPL36	3.05	0.00145
RPL36A	2.4	0.0078
RPL4	4.64	0.00151
RPL6	2.73	0.00404
RPL7	2.28	0.000604
RPL7A	2.66	0.00221
RPL8	1.41	0.0118
RPL9	2.42	0.0177
RPN1	3.43	0.000339
RPN2	4.89	0.000129
RPS11	1.98	0.00326
RPS13	2.2	0.00294
RPS14	1.1	0.037
RPS15	4.32	0.000522
RPS17	2.41	0.000611
RPS18	1.32	0.0125
RPS2	1.34	0.00596
RPS23	1.24	0.0256
RPS24	2.82	8e-04
RPS25	1.99	0.00632
RPS26	2.01	0.00235
RPS27L	3.55	0.0117
RPS3A	1.01	0.0208
RPS4X	1.74	0.00521
RPS5	1.68	0.016
RPS6	2.33	0.00537
RPS9	2.55	0.000484
RPTOR	3.01	0.00185
RRAGC	1.99	0.049
RRAS	3.53	0.0255
RRBP1	1.71	0.00684
RTN3	2.24	0.00975
RTN4	1.21	0.041
RTRAF	1.09	0.0289
RUFY1	4.71	0.00427
RUVBL1	2.65	0.0373
RUVBL2	2.01	0.00145
SAMD4A	3.56	0.0024
SAMM50	7.02	0.000457
SARNP	2.39	0.017
SCAMP1	3.7	0.000358
SCAMP3	5.07	0.000765
SCCPDH	5.74	0.00219
SCP2	3.66	0.00145
SCRN1	2.36	0.00702
SDF2	4.11	0.000832
SDF2L1	3.88	0.000386
SDHA	6.57	0.000152
SEC11A	5.61	8.41e-05
SEC16A	1.71	0.026
SEC22B	2.32	0.00333
SEC23A	1.93	0.0488
SEC23B	4.53	0.0446
SEC24C	1.42	0.0255
SEC61A1	6.03	0.00495
SEC61B	6.95	0.000228
SEC62	6.96	8.41e-05
SEC63	5.48	0.000262
SEL1L	4.36	0.00579
SELENOF	2.77	0.00377
SEPTIN11	1.99	0.00958
SEPTIN8	7.33	0.000268
SERBP1	6.75	0.00559
SERPINH1	2.32	0.00154
SETD7	2.96	0.0425
SF1	4.25	0.00167
SF3A1	4.14	0.0212
SF3B6	3.58	0.0161
SFXN3	5.24	0.000577
SH3GLB1	2.58	0.00308
SH3GLB2	3.43	0.0336
SHMT2	5.26	0.000207
SIDT2	3.4	0.000298
SIGMAR1	3.35	0.000831
SIL1	1.63	0.0154
SLC25A1	4.33	0.000244
SLC25A11	4.66	0.000339
SLC25A12	1.27	0.0365
SLC25A13	1.35	0.00729
SLC25A20	3.68	0.00389
SLC25A22	3.46	0.00527
SLC25A24	4.39	0.00101
SLC25A4	3.49	0.00473
SLC25A5	3.85	0.00115
SLC27A4	6.07	9.62e-05
SLC2A1	4.09	0.00311
SLC35A4	1.88	0.00673
SLC3A2	8.5	6.8e-05
SLC4A2	3.21	0.000374
SLC9A6	2.24	0.0317
SMAP	3.08	0.00149
SMAP1	4.35	0.0117
SMARCA5	3.57	0.00067
SMARCC2	6.07	0.000168
SMTN	4.06	0.000244
SMURF2	2.78	0.0018
SNAP23	3.06	0.00499
SNAPIN	3.31	0.00488
SNRPA	5.28	8.41e-05
SNRPA1	2.01	0.037
SNRPB	2.33	0.00355
SNRPD1	5.52	0.00134
SNRPD2	1.63	0.0177
SNRPD3	1.92	0.00944
SNRPG	2.85	0.00452
SNU13	1.72	0.00424
SNX1	6.19	0.000497
SNX18	4.89	0.00362
SNX3	1.68	0.00602
SNX4	1.99	0.024
SNX6	3.1	0.00856
SNX7	1.95	0.00667
SPCS3	6.73	0.016
SPECC1	3.19	0.000737
SPRYD4	3.29	0.000326
SPRYD7	1.49	0.00547
SPTBN1	1.15	0.039
SQSTM1	6.37	0.000522
SRC	3.77	0.00512
SRP14	2.49	0.00121
SRP19	2.92	0.000567
SRP54	2.18	0.00441
SRP72	5.63	0.00171
SRPRB	5.65	8.39e-05
SRSF1	3.77	0.00176
SRSF10	3.15	0.0078
SRSF2	2.31	0.00181
SRSF3	4.63	0.000311
SRSF5	1.33	0.0145
SRSF7	2.88	0.000929
SRSF9	2.78	0.00148
SSBP1	2.1	0.0163
SSR1	3.09	0.0128
SSR4	1.75	0.011
STAT1	3.92	0.00114
STAT5B	4.49	0.000311
STAU1	2.82	0.00905
STIM1	4.34	0.00249
STK24	3.58	0.000327
STK39	1.94	0.00342
STOML2	2.57	0.011
STRIP1	3.8	0.0187
STT3A	3.99	0.00237
STT3B	5.6	0.000339
STX18	4.05	0.00286
STX8	3.37	0.000847
STXBP1	6.24	0.000294
SUB1	1.2	0.0122
SUCLA2	4.37	0.00309
SUCLG1	1.44	0.0175
SUCLG2	1.26	0.00926
SUPT16H	3.84	0.0194
SUPT5H	2.45	0.00246
SURF4	2.29	0.00105
SWAP70	2.9	0.0283
SYNCRIP	1.42	0.0123
SYNJ2BP	3.46	0.0043
SYNPO	4.03	0.000276
TARDBP	1.55	0.0143
TATDN1	2.72	0.00178
TBL2	1.85	0.00817
TES	1.84	0.00282
TFG	5.73	0.0044
THUMPD1	2.19	0.0382
TIMM13	1.71	0.0214
TIMM23	2.62	0.00106
TIMM44	2.76	0.00435
TIMM8B	1.2	0.037
TIMP3	2.4	0.00274
TJP2	2.83	0.0044
TM9SF1	2.57	0.000747
TM9SF3	4.34	0.0225
TM9SF4	1.91	0.0102
TMCO1	5.57	0.00015
TMED10	3.51	0.000258
TMED2	1.5	0.00826
TMED3	5.05	0.000152
TMED4	3.75	0.0122
TMED7	2.61	0.00365
TMED9	3.92	0.000457
TMEM106B	3.16	0.0124
TMEM11	5	0.000197
TMEM33	3.36	0.00159
TMEM43	4.27	0.00189
TMEM65	3.54	0.000278
TMOD3	3.4	0.0206
TMPO	4.86	0.000168
TMX2	2.43	0.00435
TMX3	5.93	7.69e-05
TMX4	5.46	0.00177
TNS1	2.38	0.013
TOMM22	6.26	0.000152
TOMM40	5.11	0.000353
TOMM70	4.7	0.000722
TOP2B	4.94	0.000152
TOR1AIP1	3.41	0.0134
TRA2B	3.61	0.000586
TRAP1	4.69	0.0048
TRIM28	2.36	0.0259
TRIP10	1.85	0.00272
TRIP11	1.63	0.0059
TSG101	4.11	0.000252
TSNAX	3.13	0.00355
TUFM	1.69	0.00416
TXN2	1.83	0.0253
TXNDC12	4.18	0.0024
U2AF1	4.83	0.00167
U2AF2	6.26	0.000714
U2SURP	1.63	0.00536
UAP1	1	0.0475
UBA3	1.29	0.0176
UBAP2L	2.68	0.0434
UBE4A	1.9	0.00494
UBQLN1	2.91	0.0299
UBR4	1.48	0.00494
UGGT1	1.81	0.00246
UGGT2	3.95	0.000317
UQCRC1	3.63	0.0173
UQCRQ	3.86	0.000281
USE1	4.54	0.00015
USP7	2.22	0.00142
UTRN	2.63	0.00863
VAMP3	5	0.0321
VAMP4	3.32	0.003
VAMP8	2.95	0.00336
VAPA	5.34	0.000457
VAPB	4.62	0.000138
VDAC2	3.6	0.00808
VIM	2.83	0.000331
VPS18	1.92	0.0389
VPS35	2.27	8e-04
VPS45	2.98	0.0357
VTI1B	4.47	0.00626
VWA5A	2.97	0.0325
VWA8	2.91	0.0232
WASF1	3.45	0.00614
WASHC2C	2.46	0.0124
WASHC5	1.55	0.00263
WFS1	4.12	0.000197
XYLB	2.58	0.00987
YAP1	2.91	0.00495
YBX1	4.24	0.000326
YBX3	5.59	0.000244
YES1	4.02	0.000802
YTHDF2	3.89	0.00657
YTHDF3	3.6	0.00515
