Gene.ID	GCCK1431_S72_5mM	GCCK1431_S75_SMCS
MMP12	37.8400744	1814.361085
MMP16	86.24016957	367.4018286
MMP19	94.16018514	414.3755784
MPZL3	22.87124497	87.26212838
MSLN	0	15.09870529
MSRB3	474.1977324	1739.345684
MTHFD1L	428.5784427	1738.867559
MTHFD2	122.6018411	454.2864894
MXRA5	16.72003288	162.7304903
MYBL1	20.2400398	108.2073879
MYBL2	0	14.25988833
MYCT1	40.48007959	218.0924097
MYLIP	13.20002595	64.58890594
MYO10	926.641822	2816.755741
MYOCD	15.84003115	1068.652807
MYRF	8.800017303	95.62513348
MYZAP	4.778409395	29.4173108
NBPF26	121.7042393	684.1391128
NCAPG	4.400008651	50.09414887
NDC80	0	15.7026535
NDNF	6.160012112	43.61848194
NDP	12.32002422	244.9345524
NDUFA4L2	12.32002422	91.43104867
NEDD9	36.96007267	398.4380561
NEGR1	54.55130726	188.1550324
NES	79.20015573	556.9744616
NET1	94.16018514	295.26357
NID2	528.93384	3648.593744
NIPAL1	6.415212614	51.74661828
NMNAT2	127.6178509	810.6410986
NPPB	6.160012112	192.9279009
NPTX1	19.36003807	98.14158436
NR4A3	6.160012112	46.97374978
NRK	80.08015746	744.8694608
NTF3	0.88000173	24.32569185
NXPH3	10.56002076	46.97374978
OAS2	5.280010382	31.87504449
OXTR	25.52005018	106.529754
PACSIN3	102.0802007	334.6879672
PADI2	0	22.64805793
PALMD	229.6804516	3425.728466
PAQR4	14.08002768	74.05076126
PBX1	108.0026124	404.3517157
PCDH10	651.2012804	2109.222023
PCDHA6	0	17.35512291
PCDHGA1	8.043215815	41.94923619
PDCD1LG2	239.3604706	810.2804073
PDE3A	13.20002595	320.4448552
PDE7B	223.6788398	752.3265435
PDGFRL	33.44006575	260.0332577
PDK4	3.520006921	136.7271645
PDLIM3	7.876015486	137.6163105
PDLIM5	480.0145438	1802.366003
PDZK1IP1	69.52013669	235.7075658
PECAM1	22.95924514	87.01887146
PENK	14.08002768	288.5446462
PHGDH	36.08007094	188.7338161
PHLDB2	809.7159921	2739.567804
PIANP	7.040013842	252.4839051
PIEZO2	38.72007613	164.4081242
PKIA	30.80006056	140.0824324
PKMYT1	6.160012112	64.34564903
PKNOX2	14.96002941	167.7633921
PKP1	3.520006921	31.87504449
PLA2G4A	135.5202665	456.3164264
PLAGL1	227.0404464	1046.00475
PLAT	2319.825361	8986.413859
PLAU	117.9202319	1106.290524
PLCXD2	14.08002768	108.2073879
PLEKHG2	197.6923887	620.690998
PLK2	858.8816888	2630.588705
PLOD2	796.4015659	6869.910905
PLP2	708.4013929	2128.917445
PLXNA4	56.32011074	205.5688725
PLXNB3	86.82097071	325.8720009
PMEPA1	146.0802872	512.5171627
PNMA2	46.6400917	567.4848382
PNP	262.1789155	1241.415549
POC1B-GALNT4	5.104010036	61.48528319
POLE2	0	15.09870529
POSTN	6994.060152	29076.21427
PRDM1	33.44006575	134.2107136
PRICKLE1	22.03524333	91.43104867
PRKAA2	7.920015573	54.52310242
PRPS2	26.40005191	124.1449101
PRR11	29.10165722	222.7142911
PRSS3	216.4804256	999.0309997
PSG4	48.64649565	4618.652006
PSIP1	60.72011939	213.8983249
PSRC1	20.2400398	96.46395044
PTGDS	14.08002768	175.3882382
PTGS1	47.59929359	1582.847604
PTGS2	242.8804776	2865.390348
PTMS	427.6808409	1820.232804
PTN	0.88000173	16.77633921
PUDP	53.68010555	219.7700436
PWP2	51.84970195	243.8189259
RAB11FIP1	65.93852965	202.0793939
RAB23	195.9587853	695.3624838
RAB38	17.60003461	69.62180771
RAET1G	6.212812216	34.81090385
RASA2	196.2403859	654.2352882
RASD1	32.56006402	182.8620973
RASGRF2	122.3202405	395.9216053
RASGRP3	56.41691093	292.2270526
RBP1	10.56002076	95.62513348
REEP2	45.76008997	277.6484139
RGN	3.520006921	41.94084802
RGS17	21.12004153	100.6580352
RGS20	37.8400744	143.4377002
RGS4	1075.362114	6053.607792
RGS5	18.48003634	138.4047985
RHOJ	169.8403339	723.0602198
RIPK4	14.08002768	98.98040132
RP11-20I23.1	0	26.43112242
RP11-468E2.2	0	15.19936332
RP11-474G23.1	6.186412164	42.77127681
RP11-552F3.12	0	15.29163319
RP11-717K11.2	0	18.10167
RP11-745O10.4	0	15.76137068
RP11-903H12.5	0	15.51811377
RPS24	2005.506343	6134.63751
RPS3A	1781.123502	5904.558406
RPS4X	2958.337017	9717.769979
RRM2	8.747217199	42.77966498
SAA1	106.2690089	440.6221611
SAA2	19.6328386	95.70901517
SARM1	32.34886361	136.8529871
SAXO2	7.920015573	57.0395533
SCG5	105.6002076	502.4513592
SCN3A	3.572807025	37.01699246
SDR42E1	6.160012112	78.00997731
SELT	888.8193476	5080.11038
SEMA5A	709.2637946	5206.713024
SEMA6D	5.280010382	41.10203106
SERPINA3	40.48007959	219.7700436
SERPINA9	27.28005364	3785.580942
SERPIND1	12.32002422	57.87837026
SERTAD4	0.88000173	26.84214273
SFRP1	200.6403945	890.8236118
SH3BP1	18.62083661	135.3263402
SHH	0	23.48687489
SHISA2	18.48003634	72.13825859
SHROOM2	0.88000173	18.45397313
SHROOM3	51.92010209	342.7489982
SIM2	27.28005364	209.7042401
SIPA1L1	1078.882121	3251.103551
SIPA1L2	27.28005364	100.6580352
SIRPB1	5.280010382	146.8852379
SKIL	87.1201713	473.0927656
SLC12A2	221.7780361	955.4292941
SLC16A1	213.8404205	670.8774167
SLC22A3	23.76004672	147.631785
SLC2A1	454.9608946	1557.683095
SLC35D1	128.4802526	415.2143954
SLC35F3	1.760003461	231.513481
SLC35G2	34.61046805	143.7145098
SLC38A1	929.4754276	3253.435462
SLC38A5	13.20002595	81.36524515
SLC46A3	35.20006921	141.7600663
SLC7A14	35.86887053	531.373768
SLC7A2	36.08007094	1267.444039
SLC8A1	35.20006921	122.4672762
SLFNL1	11.44002249	62.91127202
SMC1A	324.7206385	1047.682383
SNAI1	53.68010555	179.5068295
SOX17	130.2402561	400.954507
SOX4	153.1203011	511.686734
SPANXB1	16.08643163	173.2157023
SPEG	159.1395129	490.9931195
SPINK1	0.88000173	20.13160705
STATH	4.400008651	32.71386145
STBD1	92.056981	294.273766
STC1	600.5043807	2519.856478
STK17B	204.5740022	615.6077672
STX11	8.800017303	42.77966498
SULF1	286.0005623	1514.064613
SV2A	39.60007786	301.1352888
SYNJ2	356.5679011	1242.883478
TAGLN	2989.770679	27838.11205
TCEAL7	3.520006921	79.68761123
TCF21	41.36008132	318.8427148
TCF4	133.8218631	506.695773
TES	84.16336548	502.2081023
TFAP2D	0	19.29279009
TFF1	0	72.97707555
TFF2	0	22.64805793
TFPI2	921.4234117	15127.22506
TGFB1I1	229.6804516	889.1459779
TGFB2	322.960635	1102.406802
TGM2	1400.082753	22763.78112
THBD	85.36016784	452.9611586
THBS1	31568.46047	105047.3211
THRB	10.56002076	91.43104867
TIGD7	13.52562659	68.7410499
TIMP3	5280.547183	17179.8521
TINAGL1	14.96002941	63.75008898
TM6SF1	0.88000173	27.24477487
TMEM200A	308.8806073	1131.622797
TMEM220	8.791217286	55.36191938
TMEM25	28.16005537	118.2731914
TMTC2	39.60007786	128.3389949
TMTC4	81.84016092	397.5992392
TNFAIP8L3	267.5909261	880.7494202
TNFRSF11A	183.0315599	1053.579267
TNFRSF11B	79.20015573	1160.117409
TNFRSF21	289.5205693	1199.508253
TOM1L1	50.72329973	207.3471644
TOP2A	35.20006921	128.3389949
TPX2	126.7202492	519.2276984
TRIM14	29.92005883	161.8916733
TRIM55	0	27.68095969
TRIM6-TRIM34	0	25.76006885
TRIP13	62.95532378	204.2854825
TRO	6.160012112	121.6284592
TRPC4	16.72003288	98.14158436
TRPM2	1.760003461	42.77966498
TSLP	22.00004326	238.2240167
TSPAN13	68.64013496	1423.656921
TTC12	29.0400571	192.9279009
TTK	4.400008651	31.87504449
TYW1B	12.07362374	67.98611463
UBASH3B	469.920924	1964.509321
UBE2C	11.44002249	69.62180771
UBE2F-SCLY	1.416802786	24.92964006
UGT2B7	3.520006921	53.68428546
ULBP2	250.747693	809.1480044
USP18	7.920015573	45.29611586
VAMP8	11.44002249	98.14158436
VCAN	6574.061726	25137.99381
VIPR1	167.2003288	2356.15296
VWA5A	119.6802353	1092.139682
WDR89	7.040013842	44.4572989
WNT16	23.76004672	314.5563601
WNT5A	226.1604447	1050.198834
WWTR1	593.1387662	1846.705867
ZDHHC6	89.87457671	273.4543291
ZFPM2	102.6434018	324.63894
ZMAT4	0	19.29279009
ZNF185	68.64013496	1077.040977
ZNF69	11.84482329	50.32901762
ZPLD1	0	50.32901762
ZSCAN31	23.76004672	114.9179236
ZWILCH	56.69851148	205.4766026
