Gene.ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
Nme9	0.755220082	0	0	0	0	0.384211062	60.98414081	0	0	0.554938885	0	3.074206811	0	0	0	0
Nppa	1.132830123	20.8211188	1133.48377	49.47753926	7.65988826	43.03163897	138.4966936	849.522386	14.14371752	1.664816654	4.693639307	51.38317099	1.652954689	1.701627691	1.756135859	1.061353948
Nppb	0	9.914818478	50.13897963	0	1.914972065	4.994743809	25.07759061	265.1877322	6.428962508	0	0.469363931	4.830896418	0.550984896	0	0	0
Npvf	0.377610041	1.487222772	0	0	0	0.384211062	94.61091005	0	0	0	2.346819653	0.439172402	0	0	0	0
Nxph1	0	0.495740924	0	0	5.744916195	1.152633187	109.4294863	0	0	8.879022155	0.469363931	1.317517205	0.550984896	0	0	0
Ppp1r17	0	0	0	0	0	1.536844249	107.1497054	0	0	4.994449962	0.469363931	1.756689606	0	0	0	0
Rsph1	1.132830123	0	6.856612598	1.767054973	3.351201114	2.305266374	192.6300926	0	0	3.329633308	2.346819653	8.344275631	5.509848963	3.403255382	1.756135859	1.061353948
Scgb1a1	3.020880327	0	23.99814409	6.361397904	1.436229049	0	6.839342895	415.8632187	5.143170007	1.109877769	2.816183584	0.878344803	0	8.508138454	0	0
Slc22a6	13.59396147	19.33389603	81.01944862	164.3361125	1.919759495	2.305266374	1.783928605	26.22560839	25.71585003	3.884572193	1.699097429	1.756689606	6.628348303	6.806510763	2.634203789	1.061353948
Sox1	0	0	0	0	0	0.768422125	79.45036663	0	0	4.994449962	0	0.878344803	0	0	0	0
Spag17	0.755220082	0	0	4.947753926	1.096321507	3.82674218	96.58862003	53.31291534	0	2.130965317	1.642773757	2.411056485	3.377537414	0	2.634203789	0
Tacr3	0	0	0	0	0	1.152633187	37.04644068	0	0	1.109877769	0	0	0	0	0	0
Tekt1	0	0	0	0	0	0.384211062	64.9737575	0	0	1.664816654	0	2.63503441	0	0	0	0
Tnni2	41.15949445	198.2963696	1323.746199	62.90715706	163.2513685	64.00187875	38.18633116	523.5755389	30.85902004	13.31853323	136.1155399	7.465930827	53.44553494	54.45208611	31.61044547	61.558529
